2023-09-13 at 16:55:49 | INFO | Creating the Mismatch Database
2023-09-13 at 16:55:50 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/7a/9ad0b94f02d59c1ed462fe779616af/bagaza-virus--64290/work/mismatch.db
2023-09-13 at 16:55:50 | INFO | Read in MSA: 64290_final	seqs:10	cols:11019
2023-09-13 at 16:55:56 | INFO | 64290_final: digested to 2933 FKmers and 3414 RKmers
2023-09-13 at 16:56:29 | INFO | 64290_final: Generated 166920 possible amplicons
2023-09-13 at 16:56:29 | INFO | Added first amplicon for 64290_final: 6	1034	1
2023-09-13 at 16:56:30 | INFO | Added overlapping amplicon for 64290_final: 824	1849	2
2023-09-13 at 16:56:30 | INFO | Added overlapping amplicon for 64290_final: 1685	2710	1
2023-09-13 at 16:56:30 | INFO | Added overlapping amplicon for 64290_final: 2497	3520	2
2023-09-13 at 16:56:30 | INFO | Added overlapping amplicon for 64290_final: 3356	4293	1
2023-09-13 at 16:56:30 | INFO | Added overlapping amplicon for 64290_final: 4036	5042	2
2023-09-13 at 16:56:30 | INFO | Added overlapping amplicon for 64290_final: 4852	5845	1
2023-09-13 at 16:56:30 | INFO | Added overlapping amplicon for 64290_final: 5661	6649	2
2023-09-13 at 16:56:30 | INFO | Added overlapping amplicon for 64290_final: 6454	7428	1
2023-09-13 at 16:56:30 | INFO | Added overlapping amplicon for 64290_final: 7224	8248	2
2023-09-13 at 16:56:30 | INFO | Added overlapping amplicon for 64290_final: 8019	9053	1
2023-09-13 at 16:56:30 | INFO | Added overlapping amplicon for 64290_final: 8809	9835	2
2023-09-13 at 16:56:30 | INFO | Added overlapping amplicon for 64290_final: 9678	10679	1
2023-09-13 at 16:56:30 | INFO | Added overlapping amplicon for 64290_final: 10111	11009	2
2023-09-13 at 16:56:30 | INFO | Writting output files
