2023-09-13 at 16:44:28 | INFO | Creating the Mismatch Database
2023-09-13 at 16:44:28 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/ae/10b2c195eed995c538a31d6d18c35d/bainyik-virus--1534467/work/mismatch.db
2023-09-13 at 16:44:28 | INFO | Read in MSA: 1534467_final	seqs:1	cols:10648
2023-09-13 at 16:44:30 | INFO | 1534467_final: digested to 5531 FKmers and 5899 RKmers
2023-09-13 at 16:45:56 | INFO | 1534467_final: Generated 578192 possible amplicons
2023-09-13 at 16:45:56 | INFO | Added first amplicon for 1534467_final: 1	1022	1
2023-09-13 at 16:45:56 | INFO | Added overlapping amplicon for 1534467_final: 836	1858	2
2023-09-13 at 16:45:56 | INFO | Added overlapping amplicon for 1534467_final: 1706	2733	1
2023-09-13 at 16:45:56 | INFO | Added overlapping amplicon for 1534467_final: 2579	3601	2
2023-09-13 at 16:45:57 | INFO | Added overlapping amplicon for 1534467_final: 3427	4453	1
2023-09-13 at 16:45:57 | INFO | Added overlapping amplicon for 1534467_final: 4303	5329	2
2023-09-13 at 16:45:57 | INFO | Added overlapping amplicon for 1534467_final: 5179	6203	1
2023-09-13 at 16:45:57 | INFO | Added overlapping amplicon for 1534467_final: 6053	7078	2
2023-09-13 at 16:45:57 | INFO | Added overlapping amplicon for 1534467_final: 6917	7944	1
2023-09-13 at 16:45:57 | INFO | Added overlapping amplicon for 1534467_final: 7792	8811	2
2023-09-13 at 16:45:57 | INFO | Added overlapping amplicon for 1534467_final: 8646	9670	1
2023-09-13 at 16:45:57 | INFO | Added overlapping amplicon for 1534467_final: 9518	10540	2
2023-09-13 at 16:45:57 | INFO | Writting output files
