2023-09-13 at 16:44:47 | INFO | Creating the Mismatch Database
2023-09-13 at 16:44:47 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/f6/e28c972a63ea5cd77b2c75d065574d/batu-cave-virus--64306/work/mismatch.db
2023-09-13 at 16:44:47 | INFO | Read in MSA: 64306_final	seqs:1	cols:10131
2023-09-13 at 16:44:49 | INFO | 64306_final: digested to 6026 FKmers and 6287 RKmers
2023-09-13 at 16:46:39 | INFO | 64306_final: Generated 693288 possible amplicons
2023-09-13 at 16:46:39 | INFO | Added first amplicon for 64306_final: 35	1056	1
2023-09-13 at 16:46:39 | INFO | Added overlapping amplicon for 64306_final: 905	1928	2
2023-09-13 at 16:46:39 | INFO | Added overlapping amplicon for 64306_final: 1773	2799	1
2023-09-13 at 16:46:40 | INFO | Added overlapping amplicon for 64306_final: 2648	3674	2
2023-09-13 at 16:46:40 | INFO | Added overlapping amplicon for 64306_final: 3522	4544	1
2023-09-13 at 16:46:40 | INFO | Added overlapping amplicon for 64306_final: 4398	5424	2
2023-09-13 at 16:46:40 | INFO | Added overlapping amplicon for 64306_final: 5269	6293	1
2023-09-13 at 16:46:40 | INFO | Added overlapping amplicon for 64306_final: 6137	7163	2
2023-09-13 at 16:46:40 | INFO | Added overlapping amplicon for 64306_final: 7004	8029	1
2023-09-13 at 16:46:40 | INFO | Added overlapping amplicon for 64306_final: 7847	8871	2
2023-09-13 at 16:46:41 | INFO | Added overlapping amplicon for 64306_final: 8690	9714	1
2023-09-13 at 16:46:41 | INFO | Added overlapping amplicon for 64306_final: 9098	10121	2
2023-09-13 at 16:46:41 | INFO | Writting output files
