2023-09-13 at 16:49:03 | INFO | Creating the Mismatch Database
2023-09-13 at 16:49:05 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/c3/3fb365973efa9591f591d6ef808324/cell-fusing-agent-virus--31658/work/mismatch.db
2023-09-13 at 16:49:05 | INFO | Read in MSA: 31658_final	seqs:19	cols:10713
2023-09-13 at 16:49:13 | INFO | 31658_final: digested to 2009 FKmers and 2051 RKmers
2023-09-13 at 16:49:34 | INFO | 31658_final: Generated 68010 possible amplicons
2023-09-13 at 16:49:34 | INFO | Added first amplicon for 31658_final: 28	1009	1
2023-09-13 at 16:49:34 | INFO | Added overlapping amplicon for 31658_final: 651	1661	2
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 31658_final: 1397	2417	1
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 31658_final: 2255	3268	2
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 31658_final: 3034	4046	1
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 31658_final: 3885	4886	2
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 31658_final: 4585	5549	1
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 31658_final: 5371	6319	2
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 31658_final: 6144	7145	1
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 31658_final: 6939	7957	2
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 31658_final: 7794	8797	1
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 31658_final: 8459	9425	2
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 31658_final: 9152	10107	1
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 31658_final: 9744	10662	2
2023-09-13 at 16:49:35 | INFO | Writting output files
