2023-09-13 at 16:55:49 | INFO | Creating the Mismatch Database
2023-09-13 at 16:55:52 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/f6/4879d5f865902d7ef7801c73734ee0/culex-flavivirus--390844/work/mismatch.db
2023-09-13 at 16:55:52 | INFO | Read in MSA: 390844_final	seqs:19	cols:10923
2023-09-13 at 16:56:00 | INFO | 390844_final: digested to 744 FKmers and 872 RKmers
2023-09-13 at 16:56:05 | INFO | 390844_final: Generated 10782 possible amplicons
2023-09-13 at 16:56:06 | INFO | Added first amplicon for 390844_final: 133	1139	1
2023-09-13 at 16:56:06 | INFO | Added overlapping amplicon for 390844_final: 888	1806	2
2023-09-13 at 16:56:06 | INFO | Added overlapping amplicon for 390844_final: 1508	2518	1
2023-09-13 at 16:56:06 | INFO | Added overlapping amplicon for 390844_final: 2315	3331	2
2023-09-13 at 16:56:06 | INFO | Added overlapping amplicon for 390844_final: 3072	4049	1
2023-09-13 at 16:56:06 | INFO | Added overlapping amplicon for 390844_final: 3376	4337	2
2023-09-13 at 16:56:06 | INFO | Added overlapping amplicon for 390844_final: 4166	5192	1
2023-09-13 at 16:56:06 | INFO | Added overlapping amplicon for 390844_final: 4755	5731	2
2023-09-13 at 16:56:07 | INFO | Added overlapping amplicon for 390844_final: 5453	6406	1
2023-09-13 at 16:56:07 | INFO | Added overlapping amplicon for 390844_final: 6013	6950	2
2023-09-13 at 16:56:07 | INFO | Added overlapping amplicon for 390844_final: 6684	7711	1
2023-09-13 at 16:56:07 | INFO | Added overlapping amplicon for 390844_final: 7533	8489	2
2023-09-13 at 16:56:08 | INFO | Added overlapping amplicon for 390844_final: 8183	9112	1
2023-09-13 at 16:56:08 | INFO | Added overlapping amplicon for 390844_final: 8886	9862	2
2023-09-13 at 16:56:08 | INFO | Added overlapping amplicon for 390844_final: 9654	10663	1
2023-09-13 at 16:56:08 | INFO | Added overlapping amplicon for 390844_final: 9948	10830	2
2023-09-13 at 16:56:08 | INFO | Writting output files
