2023-09-13 at 16:45:12 | INFO | Creating the Mismatch Database
2023-09-13 at 16:45:12 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/ea/aa5f2b2db47e64c5f1d27bb97084d1/culex-theileri-flavivirus--1244563/work/mismatch.db
2023-09-13 at 16:45:12 | INFO | Read in MSA: 1244563_final	seqs:1	cols:10280
2023-09-13 at 16:45:13 | INFO | 1244563_final: digested to 4436 FKmers and 4616 RKmers
2023-09-13 at 16:46:13 | INFO | 1244563_final: Generated 355709 possible amplicons
2023-09-13 at 16:46:13 | INFO | Added first amplicon for 1244563_final: 12	1028	1
2023-09-13 at 16:46:13 | INFO | Added overlapping amplicon for 1244563_final: 869	1891	2
2023-09-13 at 16:46:13 | INFO | Added overlapping amplicon for 1244563_final: 1740	2767	1
2023-09-13 at 16:46:13 | INFO | Added overlapping amplicon for 1244563_final: 2593	3615	2
2023-09-13 at 16:46:13 | INFO | Added overlapping amplicon for 1244563_final: 3472	4496	1
2023-09-13 at 16:46:13 | INFO | Added overlapping amplicon for 1244563_final: 4348	5373	2
2023-09-13 at 16:46:13 | INFO | Added overlapping amplicon for 1244563_final: 5222	6244	1
2023-09-13 at 16:46:13 | INFO | Added overlapping amplicon for 1244563_final: 6066	7094	2
2023-09-13 at 16:46:14 | INFO | Added overlapping amplicon for 1244563_final: 6908	7918	1
2023-09-13 at 16:46:14 | INFO | Added overlapping amplicon for 1244563_final: 7748	8769	2
2023-09-13 at 16:46:14 | INFO | Added overlapping amplicon for 1244563_final: 8599	9621	1
2023-09-13 at 16:46:14 | INFO | Added overlapping amplicon for 1244563_final: 9288	10279	2
2023-09-13 at 16:46:14 | INFO | Writting output files
