2023-09-13 at 16:48:13 | INFO | Creating the Mismatch Database
2023-09-13 at 16:48:13 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/6b/510b435a1418b03e0bedc732d8050c/dakar-bat-virus--64282/work/mismatch.db
2023-09-13 at 16:48:13 | INFO | Read in MSA: 64282_final	seqs:1	cols:10249
2023-09-13 at 16:48:14 | INFO | 64282_final: digested to 6304 FKmers and 6389 RKmers
2023-09-13 at 16:50:07 | INFO | 64282_final: Generated 708901 possible amplicons
2023-09-13 at 16:50:07 | INFO | Added first amplicon for 64282_final: 1	1028	1
2023-09-13 at 16:50:07 | INFO | Added overlapping amplicon for 64282_final: 874	1893	2
2023-09-13 at 16:50:08 | INFO | Added overlapping amplicon for 64282_final: 1721	2743	1
2023-09-13 at 16:50:08 | INFO | Added overlapping amplicon for 64282_final: 2579	3604	2
2023-09-13 at 16:50:08 | INFO | Added overlapping amplicon for 64282_final: 3447	4472	1
2023-09-13 at 16:50:08 | INFO | Added overlapping amplicon for 64282_final: 4322	5349	2
2023-09-13 at 16:50:08 | INFO | Added overlapping amplicon for 64282_final: 5185	6214	1
2023-09-13 at 16:50:08 | INFO | Added overlapping amplicon for 64282_final: 5985	7014	2
2023-09-13 at 16:50:08 | INFO | Added overlapping amplicon for 64282_final: 6842	7866	1
2023-09-13 at 16:50:09 | INFO | Added overlapping amplicon for 64282_final: 7717	8745	2
2023-09-13 at 16:50:09 | INFO | Added overlapping amplicon for 64282_final: 8590	9614	1
2023-09-13 at 16:50:09 | INFO | Added overlapping amplicon for 64282_final: 9196	10226	2
2023-09-13 at 16:50:09 | INFO | Writting output files
