2023-09-13 at 16:52:23 | INFO | Creating the Mismatch Database
2023-09-13 at 16:52:45 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/70/ecb8413d01ec65492f3c4be5c34112/dengue-virus-type-i--11053/work/mismatch.db
2023-09-13 at 16:52:46 | INFO | Read in MSA: 11053_final	seqs:169	cols:10846
2023-09-13 at 16:54:19 | INFO | 11053_final: digested to 473 FKmers and 815 RKmers
2023-09-13 at 16:54:34 | INFO | 11053_final: Generated 5335 possible amplicons
2023-09-13 at 16:54:34 | INFO | Added first amplicon for 11053_final: 190	1222	1
2023-09-13 at 16:54:34 | INFO | Added overlapping amplicon for 11053_final: 932	1952	2
2023-09-13 at 16:54:35 | INFO | Added overlapping amplicon for 11053_final: 1718	2713	1
2023-09-13 at 16:54:35 | INFO | Added overlapping amplicon for 11053_final: 2391	3422	2
2023-09-13 at 16:54:35 | INFO | Added overlapping amplicon for 11053_final: 3264	4211	1
2023-09-13 at 16:54:35 | INFO | Added overlapping amplicon for 11053_final: 3657	4612	2
2023-09-13 at 16:54:37 | INFO | Added walking amplicon for 11053_final: 4816	5719	1
2023-09-13 at 16:54:41 | INFO | Added overlapping amplicon for 11053_final: 5033	6037	2
2023-09-13 at 16:54:47 | INFO | Added walking amplicon for 11053_final: 6073	7093	1
2023-09-13 at 16:54:52 | INFO | Added overlapping amplicon for 11053_final: 6865	7893	2
2023-09-13 at 16:54:56 | INFO | Added overlapping amplicon for 11053_final: 7557	8553	1
2023-09-13 at 16:55:11 | INFO | Added overlapping amplicon for 11053_final: 8220	9096	2
2023-09-13 at 16:55:12 | INFO | Added overlapping amplicon for 11053_final: 8823	9834	1
2023-09-13 at 16:55:17 | INFO | Writting output files
