2023-09-13 at 16:49:33 | INFO | Creating the Mismatch Database
2023-09-13 at 16:49:33 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/e9/e440b2d8e1afe82526df507508a8fd/entebbe-bat-virus--64283/work/mismatch.db
2023-09-13 at 16:49:33 | INFO | Read in MSA: 64283_final	seqs:4	cols:10670
2023-09-13 at 16:49:36 | INFO | 64283_final: digested to 2354 FKmers and 2618 RKmers
2023-09-13 at 16:49:55 | INFO | 64283_final: Generated 100563 possible amplicons
2023-09-13 at 16:49:55 | INFO | Added first amplicon for 64283_final: 21	1016	1
2023-09-13 at 16:49:55 | INFO | Added overlapping amplicon for 64283_final: 865	1896	2
2023-09-13 at 16:49:55 | INFO | Added overlapping amplicon for 64283_final: 1692	2718	1
2023-09-13 at 16:49:55 | INFO | Added overlapping amplicon for 64283_final: 2479	3500	2
2023-09-13 at 16:49:55 | INFO | Added overlapping amplicon for 64283_final: 3351	4366	1
2023-09-13 at 16:49:55 | INFO | Added overlapping amplicon for 64283_final: 4214	5241	2
2023-09-13 at 16:49:55 | INFO | Added overlapping amplicon for 64283_final: 5029	6051	1
2023-09-13 at 16:49:55 | INFO | Added overlapping amplicon for 64283_final: 5897	6917	2
2023-09-13 at 16:49:55 | INFO | Added overlapping amplicon for 64283_final: 6762	7760	1
2023-09-13 at 16:49:55 | INFO | Added overlapping amplicon for 64283_final: 7562	8585	2
2023-09-13 at 16:49:56 | INFO | Added overlapping amplicon for 64283_final: 8395	9357	1
2023-09-13 at 16:49:56 | INFO | Added overlapping amplicon for 64283_final: 9158	10186	2
2023-09-13 at 16:49:56 | INFO | Added overlapping amplicon for 64283_final: 9652	10646	1
2023-09-13 at 16:49:56 | INFO | Writting output files
