2023-09-13 at 16:44:37 | INFO | Creating the Mismatch Database
2023-09-13 at 16:44:37 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/a8/27d2647bab6b54538960bc428fd731/fushun-acrida-cinerea-flavivirus-1--2905431/work/mismatch.db
2023-09-13 at 16:44:37 | INFO | Read in MSA: 2905431_final	seqs:1	cols:18961
2023-09-13 at 16:44:39 | INFO | 2905431_final: digested to 8027 FKmers and 8250 RKmers
2023-09-13 at 16:46:44 | INFO | 2905431_final: Generated 689680 possible amplicons
2023-09-13 at 16:46:44 | INFO | Added first amplicon for 2905431_final: 0	1025	1
2023-09-13 at 16:46:44 | INFO | Added overlapping amplicon for 2905431_final: 855	1874	2
2023-09-13 at 16:46:44 | INFO | Added overlapping amplicon for 2905431_final: 1667	2687	1
2023-09-13 at 16:46:44 | INFO | Added overlapping amplicon for 2905431_final: 2541	3572	2
2023-09-13 at 16:46:44 | INFO | Added overlapping amplicon for 2905431_final: 3406	4428	1
2023-09-13 at 16:46:44 | INFO | Added overlapping amplicon for 2905431_final: 4254	5269	2
2023-09-13 at 16:46:44 | INFO | Added overlapping amplicon for 2905431_final: 5120	6149	1
2023-09-13 at 16:46:44 | INFO | Added overlapping amplicon for 2905431_final: 5970	6992	2
2023-09-13 at 16:46:44 | INFO | Added overlapping amplicon for 2905431_final: 6848	7870	1
2023-09-13 at 16:46:44 | INFO | Added overlapping amplicon for 2905431_final: 7723	8745	2
2023-09-13 at 16:46:44 | INFO | Added overlapping amplicon for 2905431_final: 8598	9608	1
2023-09-13 at 16:46:44 | INFO | Added overlapping amplicon for 2905431_final: 9456	10484	2
2023-09-13 at 16:46:44 | INFO | Added overlapping amplicon for 2905431_final: 10329	11353	1
2023-09-13 at 16:46:44 | INFO | Added overlapping amplicon for 2905431_final: 11189	12213	2
2023-09-13 at 16:46:45 | INFO | Added overlapping amplicon for 2905431_final: 12026	13048	1
2023-09-13 at 16:46:45 | INFO | Added overlapping amplicon for 2905431_final: 12897	13919	2
2023-09-13 at 16:46:45 | INFO | Added overlapping amplicon for 2905431_final: 13771	14792	1
2023-09-13 at 16:46:45 | INFO | Added overlapping amplicon for 2905431_final: 14644	15671	2
2023-09-13 at 16:46:45 | INFO | Added overlapping amplicon for 2905431_final: 15461	16482	1
2023-09-13 at 16:46:45 | INFO | Added overlapping amplicon for 2905431_final: 16331	17356	2
2023-09-13 at 16:46:45 | INFO | Added overlapping amplicon for 2905431_final: 17206	18228	1
2023-09-13 at 16:46:45 | INFO | Added overlapping amplicon for 2905431_final: 17941	18960	2
2023-09-13 at 16:46:45 | INFO | Writting output files
