2023-09-13 at 16:43:06 | INFO | Creating the Mismatch Database
2023-09-13 at 16:43:07 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/e5/7c11bfafc53e0718b305a7989f11e8/fushun-flavivirus-1--2905429/work/mismatch.db
2023-09-13 at 16:43:07 | INFO | Read in MSA: 2905429_final	seqs:1	cols:15283
2023-09-13 at 16:43:12 | INFO | 2905429_final: digested to 8463 FKmers and 8648 RKmers
2023-09-13 at 16:46:09 | INFO | 2905429_final: Generated 948623 possible amplicons
2023-09-13 at 16:46:09 | INFO | Added first amplicon for 2905429_final: 5	980	1
2023-09-13 at 16:46:09 | INFO | Added overlapping amplicon for 2905429_final: 805	1827	2
2023-09-13 at 16:46:09 | INFO | Added overlapping amplicon for 2905429_final: 1667	2694	1
2023-09-13 at 16:46:09 | INFO | Added overlapping amplicon for 2905429_final: 2538	3562	2
2023-09-13 at 16:46:09 | INFO | Added overlapping amplicon for 2905429_final: 3411	4435	1
2023-09-13 at 16:46:10 | INFO | Added overlapping amplicon for 2905429_final: 4282	5306	2
2023-09-13 at 16:46:10 | INFO | Added overlapping amplicon for 2905429_final: 5142	6167	1
2023-09-13 at 16:46:10 | INFO | Added overlapping amplicon for 2905429_final: 6018	7040	2
2023-09-13 at 16:46:10 | INFO | Added overlapping amplicon for 2905429_final: 6890	7913	1
2023-09-13 at 16:46:10 | INFO | Added overlapping amplicon for 2905429_final: 7751	8773	2
2023-09-13 at 16:46:10 | INFO | Added overlapping amplicon for 2905429_final: 8617	9637	1
2023-09-13 at 16:46:11 | INFO | Added overlapping amplicon for 2905429_final: 9481	10504	2
2023-09-13 at 16:46:11 | INFO | Added overlapping amplicon for 2905429_final: 10351	11379	1
2023-09-13 at 16:46:11 | INFO | Added overlapping amplicon for 2905429_final: 11211	12235	2
2023-09-13 at 16:46:11 | INFO | Added overlapping amplicon for 2905429_final: 12066	13090	1
2023-09-13 at 16:46:11 | INFO | Added overlapping amplicon for 2905429_final: 12930	13961	2
2023-09-13 at 16:46:11 | INFO | Added overlapping amplicon for 2905429_final: 13784	14817	1
2023-09-13 at 16:46:11 | INFO | Added overlapping amplicon for 2905429_final: 14249	15270	2
2023-09-13 at 16:46:11 | INFO | Writting output files
