2023-09-13 at 16:50:18 | INFO | Creating the Mismatch Database
2023-09-13 at 16:50:19 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/0c/431648ff6a047bd99cb5e467c19a26/ilheus-virus--59563/work/mismatch.db
2023-09-13 at 16:50:19 | INFO | Read in MSA: 59563_final	seqs:17	cols:10817
2023-09-13 at 16:50:26 | INFO | 59563_final: digested to 1401 FKmers and 1627 RKmers
2023-09-13 at 16:50:34 | INFO | 59563_final: Generated 36819 possible amplicons
2023-09-13 at 16:50:34 | INFO | Added first amplicon for 59563_final: 22	1037	1
2023-09-13 at 16:50:34 | INFO | Added overlapping amplicon for 59563_final: 787	1804	2
2023-09-13 at 16:50:34 | INFO | Added overlapping amplicon for 59563_final: 1641	2641	1
2023-09-13 at 16:50:34 | INFO | Added overlapping amplicon for 59563_final: 2487	3488	2
2023-09-13 at 16:50:34 | INFO | Added overlapping amplicon for 59563_final: 3280	4253	1
2023-09-13 at 16:50:34 | INFO | Added overlapping amplicon for 59563_final: 4074	5099	2
2023-09-13 at 16:50:34 | INFO | Added overlapping amplicon for 59563_final: 4839	5848	1
2023-09-13 at 16:50:34 | INFO | Added overlapping amplicon for 59563_final: 5673	6649	2
2023-09-13 at 16:50:34 | INFO | Added overlapping amplicon for 59563_final: 6498	7446	1
2023-09-13 at 16:50:34 | INFO | Added overlapping amplicon for 59563_final: 7206	8229	2
2023-09-13 at 16:50:35 | INFO | Added overlapping amplicon for 59563_final: 8073	9048	1
2023-09-13 at 16:50:35 | INFO | Added overlapping amplicon for 59563_final: 8897	9900	2
2023-09-13 at 16:50:35 | INFO | Added overlapping amplicon for 59563_final: 9722	10737	1
2023-09-13 at 16:50:35 | INFO | Writting output files
