2023-09-13 at 16:47:53 | INFO | Creating the Mismatch Database
2023-09-13 at 16:47:53 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/b9/b3d0e5a6207a1c653d2e464bdde089/kampung-karu-virus--2045186/work/mismatch.db
2023-09-13 at 16:47:53 | INFO | Read in MSA: 2045186_final	seqs:1	cols:10311
2023-09-13 at 16:47:54 | INFO | 2045186_final: digested to 5144 FKmers and 5384 RKmers
2023-09-13 at 16:49:14 | INFO | 2045186_final: Generated 496214 possible amplicons
2023-09-13 at 16:49:14 | INFO | Added first amplicon for 2045186_final: 3	1024	1
2023-09-13 at 16:49:14 | INFO | Added overlapping amplicon for 2045186_final: 875	1901	2
2023-09-13 at 16:49:14 | INFO | Added overlapping amplicon for 2045186_final: 1747	2772	1
2023-09-13 at 16:49:14 | INFO | Added overlapping amplicon for 2045186_final: 2624	3650	2
2023-09-13 at 16:49:14 | INFO | Added overlapping amplicon for 2045186_final: 3463	4484	1
2023-09-13 at 16:49:14 | INFO | Added overlapping amplicon for 2045186_final: 4286	5311	2
2023-09-13 at 16:49:14 | INFO | Added overlapping amplicon for 2045186_final: 5155	6178	1
2023-09-13 at 16:49:14 | INFO | Added overlapping amplicon for 2045186_final: 5993	7014	2
2023-09-13 at 16:49:15 | INFO | Added overlapping amplicon for 2045186_final: 6842	7846	1
2023-09-13 at 16:49:15 | INFO | Added overlapping amplicon for 2045186_final: 7701	8729	2
2023-09-13 at 16:49:15 | INFO | Added overlapping amplicon for 2045186_final: 8556	9581	1
2023-09-13 at 16:49:15 | INFO | Added overlapping amplicon for 2045186_final: 9283	10294	2
2023-09-13 at 16:49:15 | INFO | Writting output files
