2023-09-13 at 16:48:18 | INFO | Creating the Mismatch Database
2023-09-13 at 16:48:18 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/7b/1902140f8bc3c417ea00fe7600a30a/kedougou-virus--64311/work/mismatch.db
2023-09-13 at 16:48:18 | INFO | Read in MSA: 64311_final	seqs:3	cols:10726
2023-09-13 at 16:48:20 | INFO | 64311_final: digested to 2197 FKmers and 2401 RKmers
2023-09-13 at 16:48:36 | INFO | 64311_final: Generated 83642 possible amplicons
2023-09-13 at 16:48:36 | INFO | Added first amplicon for 64311_final: 7	988	1
2023-09-13 at 16:48:36 | INFO | Added overlapping amplicon for 64311_final: 713	1730	2
2023-09-13 at 16:48:36 | INFO | Added overlapping amplicon for 64311_final: 1548	2576	1
2023-09-13 at 16:48:36 | INFO | Added overlapping amplicon for 64311_final: 2414	3369	2
2023-09-13 at 16:48:36 | INFO | Added overlapping amplicon for 64311_final: 3166	4190	1
2023-09-13 at 16:48:36 | INFO | Added overlapping amplicon for 64311_final: 4021	5041	2
2023-09-13 at 16:48:36 | INFO | Added overlapping amplicon for 64311_final: 4890	5898	1
2023-09-13 at 16:48:36 | INFO | Added overlapping amplicon for 64311_final: 5729	6745	2
2023-09-13 at 16:48:36 | INFO | Added overlapping amplicon for 64311_final: 6594	7621	1
2023-09-13 at 16:48:36 | INFO | Added overlapping amplicon for 64311_final: 7363	8370	2
2023-09-13 at 16:48:36 | INFO | Added overlapping amplicon for 64311_final: 8178	9200	1
2023-09-13 at 16:48:36 | INFO | Added overlapping amplicon for 64311_final: 9048	10072	2
2023-09-13 at 16:48:36 | INFO | Added overlapping amplicon for 64311_final: 9733	10724	1
2023-09-13 at 16:48:36 | INFO | Writting output files
