2023-09-13 at 16:45:22 | INFO | Creating the Mismatch Database
2023-09-13 at 16:45:23 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/29/beab3171ef658616e82bb80b4d5a45/marburg-virus-musoke-kenya-1980--33727/work/mismatch.db
2023-09-13 at 16:45:23 | INFO | Read in MSA: 33727_final	seqs:1	cols:19111
2023-09-13 at 16:45:26 | INFO | 33727_final: digested to 11122 FKmers and 11075 RKmers
2023-09-13 at 16:48:48 | INFO | 33727_final: Generated 1237411 possible amplicons
2023-09-13 at 16:48:48 | INFO | Added first amplicon for 33727_final: 0	989	1
2023-09-13 at 16:48:48 | INFO | Added overlapping amplicon for 33727_final: 831	1852	2
2023-09-13 at 16:48:48 | INFO | Added overlapping amplicon for 33727_final: 1703	2735	1
2023-09-13 at 16:48:48 | INFO | Added overlapping amplicon for 33727_final: 2574	3603	2
2023-09-13 at 16:48:49 | INFO | Added overlapping amplicon for 33727_final: 3435	4463	1
2023-09-13 at 16:48:49 | INFO | Added overlapping amplicon for 33727_final: 4301	5322	2
2023-09-13 at 16:48:49 | INFO | Added overlapping amplicon for 33727_final: 5172	6197	1
2023-09-13 at 16:48:49 | INFO | Added overlapping amplicon for 33727_final: 6045	7071	2
2023-09-13 at 16:48:49 | INFO | Added overlapping amplicon for 33727_final: 6920	7950	1
2023-09-13 at 16:48:49 | INFO | Added overlapping amplicon for 33727_final: 7741	8774	2
2023-09-13 at 16:48:49 | INFO | Added overlapping amplicon for 33727_final: 8603	9637	1
2023-09-13 at 16:48:49 | INFO | Added overlapping amplicon for 33727_final: 9469	10491	2
2023-09-13 at 16:48:50 | INFO | Added overlapping amplicon for 33727_final: 10333	11353	1
2023-09-13 at 16:48:50 | INFO | Added overlapping amplicon for 33727_final: 11181	12216	2
2023-09-13 at 16:48:50 | INFO | Added overlapping amplicon for 33727_final: 12028	13045	1
2023-09-13 at 16:48:50 | INFO | Added overlapping amplicon for 33727_final: 12883	13915	2
2023-09-13 at 16:48:50 | INFO | Added overlapping amplicon for 33727_final: 13757	14782	1
2023-09-13 at 16:48:50 | INFO | Added overlapping amplicon for 33727_final: 14625	15660	2
2023-09-13 at 16:48:50 | INFO | Added overlapping amplicon for 33727_final: 15470	16503	1
2023-09-13 at 16:48:50 | INFO | Added overlapping amplicon for 33727_final: 16328	17340	2
2023-09-13 at 16:48:50 | INFO | Added overlapping amplicon for 33727_final: 17181	18213	1
2023-09-13 at 16:48:50 | INFO | Added overlapping amplicon for 33727_final: 18004	19037	2
2023-09-13 at 16:48:51 | INFO | Writting output files
