2023-09-13 at 16:43:15 | INFO | Creating the Mismatch Database
2023-09-13 at 16:43:15 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/53/72feeae72602a69773598cafdf92ba/nanay-virus--1254420/work/mismatch.db
2023-09-13 at 16:43:15 | INFO | Read in MSA: 1254420_final	seqs:1	cols:10804
2023-09-13 at 16:43:19 | INFO | 1254420_final: digested to 4297 FKmers and 4544 RKmers
2023-09-13 at 16:44:18 | INFO | 1254420_final: Generated 325870 possible amplicons
2023-09-13 at 16:44:18 | INFO | Added first amplicon for 1254420_final: 16	1038	1
2023-09-13 at 16:44:18 | INFO | Added overlapping amplicon for 1254420_final: 875	1902	2
2023-09-13 at 16:44:18 | INFO | Added overlapping amplicon for 1254420_final: 1729	2753	1
2023-09-13 at 16:44:18 | INFO | Added overlapping amplicon for 1254420_final: 2568	3580	2
2023-09-13 at 16:44:18 | INFO | Added overlapping amplicon for 1254420_final: 3433	4457	1
2023-09-13 at 16:44:19 | INFO | Added overlapping amplicon for 1254420_final: 4310	5335	2
2023-09-13 at 16:44:19 | INFO | Added overlapping amplicon for 1254420_final: 5168	6192	1
2023-09-13 at 16:44:19 | INFO | Added overlapping amplicon for 1254420_final: 6047	7069	2
2023-09-13 at 16:44:19 | INFO | Added overlapping amplicon for 1254420_final: 6913	7907	1
2023-09-13 at 16:44:19 | INFO | Added overlapping amplicon for 1254420_final: 7732	8759	2
2023-09-13 at 16:44:19 | INFO | Added overlapping amplicon for 1254420_final: 8608	9631	1
2023-09-13 at 16:44:19 | INFO | Added overlapping amplicon for 1254420_final: 9481	10504	2
2023-09-13 at 16:44:19 | INFO | Added overlapping amplicon for 1254420_final: 9777	10802	1
2023-09-13 at 16:44:19 | INFO | Writting output files
