2023-09-13 at 16:50:41 | INFO | Creating the Mismatch Database
2023-09-13 at 16:50:42 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/76/b0ad5d1e6dcafe34a71730df02b3fa/aedes-flavivirus--390845/work/mismatch.db
2023-09-13 at 16:50:42 | INFO | Read in MSA: 390845_final	seqs:5	cols:11083
2023-09-13 at 16:50:45 | INFO | 390845_final: digested to 3687 FKmers and 3796 RKmers
2023-09-13 at 16:51:27 | INFO | 390845_final: Generated 239449 possible amplicons
2023-09-13 at 16:51:27 | INFO | Added first amplicon for 390845_final: 16	1017	1
2023-09-13 at 16:51:27 | INFO | Added overlapping amplicon for 390845_final: 851	1873	2
2023-09-13 at 16:51:27 | INFO | Added overlapping amplicon for 390845_final: 1716	2741	1
2023-09-13 at 16:51:27 | INFO | Added overlapping amplicon for 390845_final: 2533	3557	2
2023-09-13 at 16:51:27 | INFO | Added overlapping amplicon for 390845_final: 3324	4318	1
2023-09-13 at 16:51:28 | INFO | Added overlapping amplicon for 390845_final: 4159	5186	2
2023-09-13 at 16:51:28 | INFO | Added overlapping amplicon for 390845_final: 5026	6025	1
2023-09-13 at 16:51:28 | INFO | Added overlapping amplicon for 390845_final: 5871	6889	2
2023-09-13 at 16:51:28 | INFO | Added overlapping amplicon for 390845_final: 6712	7737	1
2023-09-13 at 16:51:28 | INFO | Added overlapping amplicon for 390845_final: 7548	8551	2
2023-09-13 at 16:51:28 | INFO | Added overlapping amplicon for 390845_final: 8384	9404	1
2023-09-13 at 16:51:28 | INFO | Added overlapping amplicon for 390845_final: 9252	10276	2
2023-09-13 at 16:51:28 | INFO | Added overlapping amplicon for 390845_final: 9990	10996	1
2023-09-13 at 16:51:28 | INFO | Writting output files
