2023-09-13 at 16:43:03 | INFO | Creating the Mismatch Database
2023-09-13 at 16:43:03 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/61/2a1c968f2919b15a5d74b367fa22c9/apoi-virus--64280/work/mismatch.db
2023-09-13 at 16:43:03 | INFO | Read in MSA: 64280_final	seqs:1	cols:10116
2023-09-13 at 16:43:06 | INFO | 64280_final: digested to 5526 FKmers and 5695 RKmers
2023-09-13 at 16:44:50 | INFO | 64280_final: Generated 563765 possible amplicons
2023-09-13 at 16:44:50 | INFO | Added first amplicon for 64280_final: 0	1021	1
2023-09-13 at 16:44:50 | INFO | Added overlapping amplicon for 64280_final: 871	1896	2
2023-09-13 at 16:44:50 | INFO | Added overlapping amplicon for 64280_final: 1741	2764	1
2023-09-13 at 16:44:50 | INFO | Added overlapping amplicon for 64280_final: 2608	3632	2
2023-09-13 at 16:44:50 | INFO | Added overlapping amplicon for 64280_final: 3480	4503	1
2023-09-13 at 16:44:50 | INFO | Added overlapping amplicon for 64280_final: 4355	5378	2
2023-09-13 at 16:44:50 | INFO | Added overlapping amplicon for 64280_final: 5207	6233	1
2023-09-13 at 16:44:50 | INFO | Added overlapping amplicon for 64280_final: 6083	7106	2
2023-09-13 at 16:44:50 | INFO | Added overlapping amplicon for 64280_final: 6930	7952	1
2023-09-13 at 16:44:51 | INFO | Added overlapping amplicon for 64280_final: 7789	8813	2
2023-09-13 at 16:44:51 | INFO | Added overlapping amplicon for 64280_final: 8666	9687	1
2023-09-13 at 16:44:51 | INFO | Added overlapping amplicon for 64280_final: 9060	10085	2
2023-09-13 at 16:44:52 | INFO | Writting output files
