2023-09-13 at 16:48:47 | INFO | Creating the Mismatch Database
2023-09-13 at 16:48:47 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/11/37d02af578781716290057e767b555/aroa-virus--64303/work/mismatch.db
2023-09-13 at 16:48:47 | INFO | Read in MSA: 64303_final	seqs:4	cols:10989
2023-09-13 at 16:48:50 | INFO | 64303_final: digested to 1169 FKmers and 1388 RKmers
2023-09-13 at 16:48:55 | INFO | 64303_final: Generated 23566 possible amplicons
2023-09-13 at 16:48:55 | INFO | Added first amplicon for 64303_final: 9	1035	1
2023-09-13 at 16:48:55 | INFO | Added overlapping amplicon for 64303_final: 849	1879	2
2023-09-13 at 16:48:55 | INFO | Added overlapping amplicon for 64303_final: 1714	2741	1
2023-09-13 at 16:48:55 | INFO | Added overlapping amplicon for 64303_final: 2508	3518	2
2023-09-13 at 16:48:55 | INFO | Added overlapping amplicon for 64303_final: 3194	4180	1
2023-09-13 at 16:48:55 | INFO | Added overlapping amplicon for 64303_final: 4023	5020	2
2023-09-13 at 16:48:55 | INFO | Added overlapping amplicon for 64303_final: 4830	5838	1
2023-09-13 at 16:48:56 | INFO | Added overlapping amplicon for 64303_final: 5673	6686	2
2023-09-13 at 16:48:56 | INFO | Added overlapping amplicon for 64303_final: 6422	7400	1
2023-09-13 at 16:48:56 | INFO | Added overlapping amplicon for 64303_final: 6920	7910	2
2023-09-13 at 16:48:56 | INFO | Added overlapping amplicon for 64303_final: 7752	8782	1
2023-09-13 at 16:48:56 | INFO | Added overlapping amplicon for 64303_final: 8569	9547	2
2023-09-13 at 16:48:56 | INFO | Added overlapping amplicon for 64303_final: 9321	10349	1
2023-09-13 at 16:48:56 | INFO | Added overlapping amplicon for 64303_final: 9969	10987	2
2023-09-13 at 16:48:56 | INFO | Writting output files
