2023-09-13 at 16:48:39 | INFO | Creating the Mismatch Database
2023-09-13 at 16:48:39 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/18/d7526f4b8ca017885afc16b2b33abd/baiyangdian-virus--1002900/work/mismatch.db
2023-09-13 at 16:48:39 | INFO | Read in MSA: 1002900_final	seqs:1	cols:10278
2023-09-13 at 16:48:40 | INFO | 1002900_final: digested to 5562 FKmers and 5870 RKmers
2023-09-13 at 16:50:34 | INFO | 1002900_final: Generated 584921 possible amplicons
2023-09-13 at 16:50:34 | INFO | Added first amplicon for 1002900_final: 11	1035	1
2023-09-13 at 16:50:34 | INFO | Added overlapping amplicon for 1002900_final: 887	1911	2
2023-09-13 at 16:50:34 | INFO | Added overlapping amplicon for 1002900_final: 1761	2789	1
2023-09-13 at 16:50:34 | INFO | Added overlapping amplicon for 1002900_final: 2629	3651	2
2023-09-13 at 16:50:34 | INFO | Added overlapping amplicon for 1002900_final: 3499	4511	1
2023-09-13 at 16:50:34 | INFO | Added overlapping amplicon for 1002900_final: 4361	5380	2
2023-09-13 at 16:50:35 | INFO | Added overlapping amplicon for 1002900_final: 5234	6261	1
2023-09-13 at 16:50:35 | INFO | Added overlapping amplicon for 1002900_final: 6098	7122	2
2023-09-13 at 16:50:35 | INFO | Added overlapping amplicon for 1002900_final: 6966	7989	1
2023-09-13 at 16:50:35 | INFO | Added overlapping amplicon for 1002900_final: 7843	8867	2
2023-09-13 at 16:50:35 | INFO | Added overlapping amplicon for 1002900_final: 8720	9747	1
2023-09-13 at 16:50:35 | INFO | Added overlapping amplicon for 1002900_final: 9253	10276	2
2023-09-13 at 16:50:35 | INFO | Writting output files
