2023-09-13 at 16:43:07 | INFO | Creating the Mismatch Database
2023-09-13 at 16:43:07 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/24/fb7477980d366b6b8e3095540752ec/binjari-virus--2305258/work/mismatch.db
2023-09-13 at 16:43:07 | INFO | Read in MSA: 2305258_final	seqs:1	cols:10302
2023-09-13 at 16:43:09 | INFO | 2305258_final: digested to 4525 FKmers and 4572 RKmers
2023-09-13 at 16:44:27 | INFO | 2305258_final: Generated 364173 possible amplicons
2023-09-13 at 16:44:27 | INFO | Added first amplicon for 2305258_final: 1	1017	1
2023-09-13 at 16:44:27 | INFO | Added overlapping amplicon for 2305258_final: 847	1869	2
2023-09-13 at 16:44:27 | INFO | Added overlapping amplicon for 2305258_final: 1719	2741	1
2023-09-13 at 16:44:27 | INFO | Added overlapping amplicon for 2305258_final: 2586	3611	2
2023-09-13 at 16:44:27 | INFO | Added overlapping amplicon for 2305258_final: 3457	4479	1
2023-09-13 at 16:44:27 | INFO | Added overlapping amplicon for 2305258_final: 4334	5363	2
2023-09-13 at 16:44:27 | INFO | Added overlapping amplicon for 2305258_final: 5181	6203	1
2023-09-13 at 16:44:27 | INFO | Added overlapping amplicon for 2305258_final: 6044	7067	2
2023-09-13 at 16:44:27 | INFO | Added overlapping amplicon for 2305258_final: 6907	7928	1
2023-09-13 at 16:44:27 | INFO | Added overlapping amplicon for 2305258_final: 7694	8719	2
2023-09-13 at 16:44:27 | INFO | Added overlapping amplicon for 2305258_final: 8557	9577	1
2023-09-13 at 16:44:27 | INFO | Added overlapping amplicon for 2305258_final: 9279	10288	2
2023-09-13 at 16:44:27 | INFO | Writting output files
