2023-09-13 at 16:50:40 | INFO | Creating the Mismatch Database
2023-09-13 at 16:50:42 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/8d/1a8599d961433a70fe03519c650960/bundibugyo-ebolavirus--565995/work/mismatch.db
2023-09-13 at 16:50:42 | INFO | Read in MSA: 565995_final	seqs:10	cols:18943
2023-09-13 at 16:50:53 | INFO | 565995_final: digested to 10224 FKmers and 10224 RKmers
2023-09-13 at 16:53:31 | INFO | 565995_final: Generated 1071998 possible amplicons
2023-09-13 at 16:53:31 | INFO | Added first amplicon for 565995_final: 0	1028	1
2023-09-13 at 16:53:31 | INFO | Added overlapping amplicon for 565995_final: 873	1895	2
2023-09-13 at 16:53:31 | INFO | Added overlapping amplicon for 565995_final: 1747	2771	1
2023-09-13 at 16:53:31 | INFO | Added overlapping amplicon for 565995_final: 2611	3614	2
2023-09-13 at 16:53:32 | INFO | Added overlapping amplicon for 565995_final: 3466	4489	1
2023-09-13 at 16:53:32 | INFO | Added overlapping amplicon for 565995_final: 4306	5341	2
2023-09-13 at 16:53:32 | INFO | Added overlapping amplicon for 565995_final: 5177	6200	1
2023-09-13 at 16:53:32 | INFO | Added overlapping amplicon for 565995_final: 6021	7044	2
2023-09-13 at 16:53:32 | INFO | Added overlapping amplicon for 565995_final: 6875	7893	1
2023-09-13 at 16:53:32 | INFO | Added overlapping amplicon for 565995_final: 7725	8753	2
2023-09-13 at 16:53:32 | INFO | Added overlapping amplicon for 565995_final: 8600	9625	1
2023-09-13 at 16:53:32 | INFO | Added overlapping amplicon for 565995_final: 9426	10449	2
2023-09-13 at 16:53:32 | INFO | Added overlapping amplicon for 565995_final: 10256	11269	1
2023-09-13 at 16:53:32 | INFO | Added overlapping amplicon for 565995_final: 11061	12085	2
2023-09-13 at 16:53:32 | INFO | Added overlapping amplicon for 565995_final: 11923	12956	1
2023-09-13 at 16:53:32 | INFO | Added overlapping amplicon for 565995_final: 12794	13820	2
2023-09-13 at 16:53:33 | INFO | Added overlapping amplicon for 565995_final: 13610	14640	1
2023-09-13 at 16:53:33 | INFO | Added overlapping amplicon for 565995_final: 14448	15466	2
2023-09-13 at 16:53:33 | INFO | Added overlapping amplicon for 565995_final: 15220	16244	1
2023-09-13 at 16:53:33 | INFO | Added overlapping amplicon for 565995_final: 16071	17093	2
2023-09-13 at 16:53:33 | INFO | Added overlapping amplicon for 565995_final: 16926	17952	1
2023-09-13 at 16:53:33 | INFO | Added overlapping amplicon for 565995_final: 17803	18832	2
2023-09-13 at 16:53:33 | INFO | Writting output files
