2023-09-13 at 16:43:15 | INFO | Creating the Mismatch Database
2023-09-13 at 16:43:15 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/fe/b8be8618183d61be28753f4d3b6358/cacipacore-virus--64305/work/mismatch.db
2023-09-13 at 16:43:15 | INFO | Read in MSA: 64305_final	seqs:1	cols:10284
2023-09-13 at 16:43:18 | INFO | 64305_final: digested to 5205 FKmers and 5575 RKmers
2023-09-13 at 16:45:00 | INFO | 64305_final: Generated 518277 possible amplicons
2023-09-13 at 16:45:00 | INFO | Added first amplicon for 64305_final: 24	1051	1
2023-09-13 at 16:45:00 | INFO | Added overlapping amplicon for 64305_final: 897	1919	2
2023-09-13 at 16:45:00 | INFO | Added overlapping amplicon for 64305_final: 1753	2773	1
2023-09-13 at 16:45:00 | INFO | Added overlapping amplicon for 64305_final: 2627	3649	2
2023-09-13 at 16:45:01 | INFO | Added overlapping amplicon for 64305_final: 3486	4512	1
2023-09-13 at 16:45:01 | INFO | Added overlapping amplicon for 64305_final: 4351	5374	2
2023-09-13 at 16:45:01 | INFO | Added overlapping amplicon for 64305_final: 5219	6251	1
2023-09-13 at 16:45:01 | INFO | Added overlapping amplicon for 64305_final: 6072	7091	2
2023-09-13 at 16:45:01 | INFO | Added overlapping amplicon for 64305_final: 6944	7970	1
2023-09-13 at 16:45:01 | INFO | Added overlapping amplicon for 64305_final: 7796	8818	2
2023-09-13 at 16:45:01 | INFO | Added overlapping amplicon for 64305_final: 8625	9651	1
2023-09-13 at 16:45:01 | INFO | Added overlapping amplicon for 64305_final: 9264	10273	2
2023-09-13 at 16:45:02 | INFO | Writting output files
