2023-09-13 at 16:50:45 | INFO | Creating the Mismatch Database
2023-09-13 at 16:50:46 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/fd/ee782d2a41c76ee2b8829f1eeeb8b2/calbertado-virus--537023/work/mismatch.db
2023-09-13 at 16:50:46 | INFO | Read in MSA: 537023_final	seqs:9	cols:10789
2023-09-13 at 16:50:51 | INFO | 537023_final: digested to 2996 FKmers and 3178 RKmers
2023-09-13 at 16:51:13 | INFO | 537023_final: Generated 155971 possible amplicons
2023-09-13 at 16:51:13 | INFO | Added first amplicon for 537023_final: 9	1035	1
2023-09-13 at 16:51:13 | INFO | Added overlapping amplicon for 537023_final: 861	1871	2
2023-09-13 at 16:51:13 | INFO | Added overlapping amplicon for 537023_final: 1622	2642	1
2023-09-13 at 16:51:13 | INFO | Added overlapping amplicon for 537023_final: 2472	3494	2
2023-09-13 at 16:51:13 | INFO | Added overlapping amplicon for 537023_final: 3328	4355	1
2023-09-13 at 16:51:13 | INFO | Added overlapping amplicon for 537023_final: 4161	5132	2
2023-09-13 at 16:51:13 | INFO | Added overlapping amplicon for 537023_final: 4982	5992	1
2023-09-13 at 16:51:13 | INFO | Added overlapping amplicon for 537023_final: 5733	6752	2
2023-09-13 at 16:51:13 | INFO | Added overlapping amplicon for 537023_final: 6448	7468	1
2023-09-13 at 16:51:13 | INFO | Added overlapping amplicon for 537023_final: 7208	8227	2
2023-09-13 at 16:51:13 | INFO | Added overlapping amplicon for 537023_final: 8042	9034	1
2023-09-13 at 16:51:14 | INFO | Added overlapping amplicon for 537023_final: 8852	9815	2
2023-09-13 at 16:51:14 | INFO | Added overlapping amplicon for 537023_final: 9581	10581	1
2023-09-13 at 16:51:14 | INFO | Added overlapping amplicon for 537023_final: 9888	10730	2
2023-09-13 at 16:51:14 | INFO | Writting output files
