2023-09-13 at 16:49:16 | INFO | Creating the Mismatch Database
2023-09-13 at 16:49:16 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/09/3a814c2e1c5b9ba87d7f882f0cab58/chimeric-tick-borne-encephalitis-virus-dengue-virus-4--638787/work/mismatch.db
2023-09-13 at 16:49:16 | INFO | Read in MSA: 638787_final	seqs:2	cols:10664
2023-09-13 at 16:49:18 | INFO | 638787_final: digested to 5540 FKmers and 5687 RKmers
2023-09-13 at 16:51:02 | INFO | 638787_final: Generated 548674 possible amplicons
2023-09-13 at 16:51:02 | INFO | Added first amplicon for 638787_final: 0	1003	1
2023-09-13 at 16:51:02 | INFO | Added overlapping amplicon for 638787_final: 835	1868	2
2023-09-13 at 16:51:02 | INFO | Added overlapping amplicon for 638787_final: 1698	2720	1
2023-09-13 at 16:51:02 | INFO | Added overlapping amplicon for 638787_final: 2568	3600	2
2023-09-13 at 16:51:02 | INFO | Added overlapping amplicon for 638787_final: 3439	4464	1
2023-09-13 at 16:51:02 | INFO | Added overlapping amplicon for 638787_final: 4293	5320	2
2023-09-13 at 16:51:02 | INFO | Added overlapping amplicon for 638787_final: 5143	6167	1
2023-09-13 at 16:51:03 | INFO | Added overlapping amplicon for 638787_final: 6013	7035	2
2023-09-13 at 16:51:03 | INFO | Added overlapping amplicon for 638787_final: 6886	7909	1
2023-09-13 at 16:51:03 | INFO | Added overlapping amplicon for 638787_final: 7760	8789	2
2023-09-13 at 16:51:03 | INFO | Added overlapping amplicon for 638787_final: 8630	9653	1
2023-09-13 at 16:51:03 | INFO | Added overlapping amplicon for 638787_final: 9469	10487	2
2023-09-13 at 16:51:03 | INFO | Added overlapping amplicon for 638787_final: 9677	10656	1
2023-09-13 at 16:51:03 | INFO | Writting output files
