2023-09-13 at 16:44:56 | INFO | Creating the Mismatch Database
2023-09-13 at 16:44:56 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/b7/0ca710fdc799f178221183f112c7e4/chinese-soft-shelled-turtle-flavivirus--2814814/work/mismatch.db
2023-09-13 at 16:44:56 | INFO | Read in MSA: 2814814_final	seqs:1	cols:11186
2023-09-13 at 16:44:58 | INFO | 2814814_final: digested to 6519 FKmers and 7032 RKmers
2023-09-13 at 16:46:54 | INFO | 2814814_final: Generated 767695 possible amplicons
2023-09-13 at 16:46:54 | INFO | Added first amplicon for 2814814_final: 2	1026	1
2023-09-13 at 16:46:54 | INFO | Added overlapping amplicon for 2814814_final: 867	1886	2
2023-09-13 at 16:46:54 | INFO | Added overlapping amplicon for 2814814_final: 1739	2763	1
2023-09-13 at 16:46:54 | INFO | Added overlapping amplicon for 2814814_final: 2612	3639	2
2023-09-13 at 16:46:54 | INFO | Added overlapping amplicon for 2814814_final: 3485	4505	1
2023-09-13 at 16:46:54 | INFO | Added overlapping amplicon for 2814814_final: 4348	5377	2
2023-09-13 at 16:46:54 | INFO | Added overlapping amplicon for 2814814_final: 5216	6232	1
2023-09-13 at 16:46:54 | INFO | Added overlapping amplicon for 2814814_final: 6088	7110	2
2023-09-13 at 16:46:55 | INFO | Added overlapping amplicon for 2814814_final: 6944	7973	1
2023-09-13 at 16:46:55 | INFO | Added overlapping amplicon for 2814814_final: 7808	8828	2
2023-09-13 at 16:46:55 | INFO | Added overlapping amplicon for 2814814_final: 8679	9702	1
2023-09-13 at 16:46:55 | INFO | Added overlapping amplicon for 2814814_final: 9555	10566	2
2023-09-13 at 16:46:55 | INFO | Added overlapping amplicon for 2814814_final: 10127	11141	1
2023-09-13 at 16:46:55 | INFO | Writting output files
