2023-09-13 at 16:49:45 | INFO | Creating the Mismatch Database
2023-09-13 at 16:49:45 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/cd/b8aa4b1474ebf898b1feec64fa4247/culex-theileri-flavivirus-rp-2011--1048536/work/mismatch.db
2023-09-13 at 16:49:45 | INFO | Read in MSA: 1048536_final	seqs:2	cols:10538
2023-09-13 at 16:49:47 | INFO | 1048536_final: digested to 4212 FKmers and 4271 RKmers
2023-09-13 at 16:50:40 | INFO | 1048536_final: Generated 322208 possible amplicons
2023-09-13 at 16:50:40 | INFO | Added first amplicon for 1048536_final: 0	1023	1
2023-09-13 at 16:50:40 | INFO | Added overlapping amplicon for 1048536_final: 874	1895	2
2023-09-13 at 16:50:41 | INFO | Added overlapping amplicon for 1048536_final: 1727	2748	1
2023-09-13 at 16:50:41 | INFO | Added overlapping amplicon for 1048536_final: 2602	3623	2
2023-09-13 at 16:50:41 | INFO | Added overlapping amplicon for 1048536_final: 3440	4465	1
2023-09-13 at 16:50:41 | INFO | Added overlapping amplicon for 1048536_final: 4313	5334	2
2023-09-13 at 16:50:41 | INFO | Added overlapping amplicon for 1048536_final: 5191	6214	1
2023-09-13 at 16:50:41 | INFO | Added overlapping amplicon for 1048536_final: 6023	7050	2
2023-09-13 at 16:50:41 | INFO | Added overlapping amplicon for 1048536_final: 6831	7857	1
2023-09-13 at 16:50:41 | INFO | Added overlapping amplicon for 1048536_final: 7707	8734	2
2023-09-13 at 16:50:41 | INFO | Added overlapping amplicon for 1048536_final: 8570	9593	1
2023-09-13 at 16:50:41 | INFO | Added overlapping amplicon for 1048536_final: 9435	10449	2
2023-09-13 at 16:50:41 | INFO | Writting output files
