2023-09-13 at 16:44:31 | INFO | Creating the Mismatch Database
2023-09-13 at 16:44:32 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/d7/f89c0364c3f5f6bc53bf40327afc1c/cyclopterus-lumpus-virus--2055848/work/mismatch.db
2023-09-13 at 16:44:32 | INFO | Read in MSA: 2055848_final	seqs:1	cols:11454
2023-09-13 at 16:44:33 | INFO | 2055848_final: digested to 6153 FKmers and 6453 RKmers
2023-09-13 at 16:46:25 | INFO | 2055848_final: Generated 667379 possible amplicons
2023-09-13 at 16:46:25 | INFO | Added first amplicon for 2055848_final: 0	1014	1
2023-09-13 at 16:46:25 | INFO | Added overlapping amplicon for 2055848_final: 860	1882	2
2023-09-13 at 16:46:25 | INFO | Added overlapping amplicon for 2055848_final: 1728	2758	1
2023-09-13 at 16:46:25 | INFO | Added overlapping amplicon for 2055848_final: 2604	3627	2
2023-09-13 at 16:46:25 | INFO | Added overlapping amplicon for 2055848_final: 3468	4490	1
2023-09-13 at 16:46:25 | INFO | Added overlapping amplicon for 2055848_final: 4331	5358	2
2023-09-13 at 16:46:25 | INFO | Added overlapping amplicon for 2055848_final: 5197	6230	1
2023-09-13 at 16:46:25 | INFO | Added overlapping amplicon for 2055848_final: 6074	7099	2
2023-09-13 at 16:46:25 | INFO | Added overlapping amplicon for 2055848_final: 6938	7963	1
2023-09-13 at 16:46:26 | INFO | Added overlapping amplicon for 2055848_final: 7816	8848	2
2023-09-13 at 16:46:26 | INFO | Added overlapping amplicon for 2055848_final: 8648	9672	1
2023-09-13 at 16:46:26 | INFO | Added overlapping amplicon for 2055848_final: 9511	10533	2
2023-09-13 at 16:46:26 | INFO | Added overlapping amplicon for 2055848_final: 10379	11394	1
2023-09-13 at 16:46:26 | INFO | Writting output files
