2023-09-13 at 16:46:45 | INFO | Creating the Mismatch Database
2023-09-13 at 16:46:45 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/9f/5bb6aa75c4463eb386bb2ecff10ec4/deer-tick-virus--58535/work/mismatch.db
2023-09-13 at 16:46:45 | INFO | Read in MSA: 58535_final	seqs:1	cols:10800
2023-09-13 at 16:46:46 | INFO | 58535_final: digested to 4617 FKmers and 4886 RKmers
2023-09-13 at 16:47:54 | INFO | 58535_final: Generated 384290 possible amplicons
2023-09-13 at 16:47:54 | INFO | Added first amplicon for 58535_final: 40	1053	1
2023-09-13 at 16:47:54 | INFO | Added overlapping amplicon for 58535_final: 867	1889	2
2023-09-13 at 16:47:55 | INFO | Added overlapping amplicon for 58535_final: 1721	2745	1
2023-09-13 at 16:47:55 | INFO | Added overlapping amplicon for 58535_final: 2581	3603	2
2023-09-13 at 16:47:55 | INFO | Added overlapping amplicon for 58535_final: 3417	4434	1
2023-09-13 at 16:47:55 | INFO | Added overlapping amplicon for 58535_final: 4285	5306	2
2023-09-13 at 16:47:55 | INFO | Added overlapping amplicon for 58535_final: 5160	6190	1
2023-09-13 at 16:47:55 | INFO | Added overlapping amplicon for 58535_final: 6026	7047	2
2023-09-13 at 16:47:55 | INFO | Added overlapping amplicon for 58535_final: 6857	7875	1
2023-09-13 at 16:47:55 | INFO | Added overlapping amplicon for 58535_final: 7703	8725	2
2023-09-13 at 16:47:55 | INFO | Added overlapping amplicon for 58535_final: 8571	9576	1
2023-09-13 at 16:47:55 | INFO | Added overlapping amplicon for 58535_final: 9386	10382	2
2023-09-13 at 16:47:55 | INFO | Added overlapping amplicon for 58535_final: 9795	10799	1
2023-09-13 at 16:47:55 | INFO | Writting output files
