2023-09-13 at 16:52:23 | INFO | Creating the Mismatch Database
2023-09-13 at 16:52:44 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/eb/e68c09eb86a801105f6e9111c44413/dengue-virus-type-2--11060/work/mismatch.db
2023-09-13 at 16:52:45 | INFO | Read in MSA: 11060_final	seqs:221	cols:11345
2023-09-13 at 16:53:48 | INFO | 11060_final: digested to 309 FKmers and 451 RKmers
2023-09-13 at 16:53:51 | INFO | 11060_final: Generated 463 possible amplicons
2023-09-13 at 16:53:51 | INFO | Added first amplicon for 11060_final: 429	1336	1
2023-09-13 at 16:53:51 | INFO | Added overlapping amplicon for 11060_final: 642	1640	2
2023-09-13 at 16:53:51 | INFO | Added overlapping amplicon for 11060_final: 1368	2233	1
2023-09-13 at 16:53:51 | INFO | Added overlapping amplicon for 11060_final: 2032	3031	2
2023-09-13 at 16:53:52 | INFO | Added overlapping amplicon for 11060_final: 2731	3672	1
2023-09-13 at 16:53:52 | INFO | Added walking amplicon for 11060_final: 4065	5083	1
2023-09-13 at 16:53:53 | INFO | Added walking amplicon for 11060_final: 5224	6147	2
2023-09-13 at 16:54:14 | INFO | Writting output files
