2023-09-13 at 16:48:59 | INFO | Creating the Mismatch Database
2023-09-13 at 16:49:00 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/d0/a132b39e277ba10829c63129195ccf/donggang-virus--985683/work/mismatch.db
2023-09-13 at 16:49:00 | INFO | Read in MSA: 985683_final	seqs:7	cols:10897
2023-09-13 at 16:49:03 | INFO | 985683_final: digested to 5507 FKmers and 5866 RKmers
2023-09-13 at 16:50:30 | INFO | 985683_final: Generated 565527 possible amplicons
2023-09-13 at 16:50:30 | INFO | Added first amplicon for 985683_final: 0	1015	1
2023-09-13 at 16:50:30 | INFO | Added overlapping amplicon for 985683_final: 869	1901	2
2023-09-13 at 16:50:30 | INFO | Added overlapping amplicon for 985683_final: 1733	2764	1
2023-09-13 at 16:50:31 | INFO | Added overlapping amplicon for 985683_final: 2611	3635	2
2023-09-13 at 16:50:31 | INFO | Added overlapping amplicon for 985683_final: 3424	4445	1
2023-09-13 at 16:50:31 | INFO | Added overlapping amplicon for 985683_final: 4278	5306	2
2023-09-13 at 16:50:31 | INFO | Added overlapping amplicon for 985683_final: 5137	6155	1
2023-09-13 at 16:50:31 | INFO | Added overlapping amplicon for 985683_final: 5991	7014	2
2023-09-13 at 16:50:31 | INFO | Added overlapping amplicon for 985683_final: 6867	7888	1
2023-09-13 at 16:50:31 | INFO | Added overlapping amplicon for 985683_final: 7721	8737	2
2023-09-13 at 16:50:31 | INFO | Added overlapping amplicon for 985683_final: 8584	9607	1
2023-09-13 at 16:50:31 | INFO | Added overlapping amplicon for 985683_final: 9428	10452	2
2023-09-13 at 16:50:32 | INFO | Added overlapping amplicon for 985683_final: 9803	10828	1
2023-09-13 at 16:50:32 | INFO | Writting output files
