2023-09-13 at 16:49:44 | INFO | Creating the Mismatch Database
2023-09-13 at 16:49:45 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/92/418e9fb7bbbd65c6e7b18c7cb5892c/duck-egg-drop-syndrome-virus--1207926/work/mismatch.db
2023-09-13 at 16:49:45 | INFO | Read in MSA: 1207926_final	seqs:8	cols:10990
2023-09-13 at 16:49:49 | INFO | 1207926_final: digested to 5340 FKmers and 5706 RKmers
2023-09-13 at 16:51:17 | INFO | 1207926_final: Generated 525181 possible amplicons
2023-09-13 at 16:51:17 | INFO | Added first amplicon for 1207926_final: 7	1031	1
2023-09-13 at 16:51:17 | INFO | Added overlapping amplicon for 1207926_final: 865	1875	2
2023-09-13 at 16:51:18 | INFO | Added overlapping amplicon for 1207926_final: 1712	2737	1
2023-09-13 at 16:51:18 | INFO | Added overlapping amplicon for 1207926_final: 2558	3581	2
2023-09-13 at 16:51:18 | INFO | Added overlapping amplicon for 1207926_final: 3420	4446	1
2023-09-13 at 16:51:18 | INFO | Added overlapping amplicon for 1207926_final: 4238	5260	2
2023-09-13 at 16:51:18 | INFO | Added overlapping amplicon for 1207926_final: 5085	6100	1
2023-09-13 at 16:51:18 | INFO | Added overlapping amplicon for 1207926_final: 5882	6905	2
2023-09-13 at 16:51:18 | INFO | Added overlapping amplicon for 1207926_final: 6757	7782	1
2023-09-13 at 16:51:18 | INFO | Added overlapping amplicon for 1207926_final: 7600	8601	2
2023-09-13 at 16:51:18 | INFO | Added overlapping amplicon for 1207926_final: 8422	9446	1
2023-09-13 at 16:51:18 | INFO | Added overlapping amplicon for 1207926_final: 9240	10263	2
2023-09-13 at 16:51:19 | INFO | Added overlapping amplicon for 1207926_final: 9975	10989	1
2023-09-13 at 16:51:19 | INFO | Writting output files
