2023-09-13 at 16:48:03 | INFO | Creating the Mismatch Database
2023-09-13 at 16:48:03 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/3c/76fa956af60063abd542658aab1f87/duck-flavivirus-kps54a61-tha--1105033/work/mismatch.db
2023-09-13 at 16:48:03 | INFO | Read in MSA: 1105033_final	seqs:1	cols:10990
2023-09-13 at 16:48:05 | INFO | 1105033_final: digested to 5846 FKmers and 6063 RKmers
2023-09-13 at 16:49:34 | INFO | 1105033_final: Generated 608641 possible amplicons
2023-09-13 at 16:49:34 | INFO | Added first amplicon for 1105033_final: 1	1025	1
2023-09-13 at 16:49:34 | INFO | Added overlapping amplicon for 1105033_final: 878	1905	2
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 1105033_final: 1715	2740	1
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 1105033_final: 2585	3602	2
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 1105033_final: 3460	4479	1
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 1105033_final: 4333	5357	2
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 1105033_final: 5192	6216	1
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 1105033_final: 6060	7093	2
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 1105033_final: 6935	7959	1
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 1105033_final: 7785	8806	2
2023-09-13 at 16:49:35 | INFO | Added overlapping amplicon for 1105033_final: 8653	9675	1
2023-09-13 at 16:49:36 | INFO | Added overlapping amplicon for 1105033_final: 9509	10517	2
2023-09-13 at 16:49:36 | INFO | Added overlapping amplicon for 1105033_final: 9975	10989	1
2023-09-13 at 16:49:36 | INFO | Writting output files
