2023-09-13 at 16:48:22 | INFO | Creating the Mismatch Database
2023-09-13 at 16:48:22 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/08/2a8981a40fc0957bd0add6ddb7d53c/flavivirus-white-kaiya-duck-wr-china-2010--1231621/work/mismatch.db
2023-09-13 at 16:48:22 | INFO | Read in MSA: 1231621_final	seqs:1	cols:10990
2023-09-13 at 16:48:23 | INFO | 1231621_final: digested to 5847 FKmers and 6117 RKmers
2023-09-13 at 16:49:56 | INFO | 1231621_final: Generated 615312 possible amplicons
2023-09-13 at 16:49:56 | INFO | Added first amplicon for 1231621_final: 0	1025	1
2023-09-13 at 16:49:56 | INFO | Added overlapping amplicon for 1231621_final: 873	1903	2
2023-09-13 at 16:49:56 | INFO | Added overlapping amplicon for 1231621_final: 1715	2740	1
2023-09-13 at 16:49:56 | INFO | Added overlapping amplicon for 1231621_final: 2585	3602	2
2023-09-13 at 16:49:56 | INFO | Added overlapping amplicon for 1231621_final: 3455	4477	1
2023-09-13 at 16:49:57 | INFO | Added overlapping amplicon for 1231621_final: 4330	5354	2
2023-09-13 at 16:49:57 | INFO | Added overlapping amplicon for 1231621_final: 5192	6216	1
2023-09-13 at 16:49:57 | INFO | Added overlapping amplicon for 1231621_final: 6061	7093	2
2023-09-13 at 16:49:57 | INFO | Added overlapping amplicon for 1231621_final: 6938	7960	1
2023-09-13 at 16:49:57 | INFO | Added overlapping amplicon for 1231621_final: 7788	8811	2
2023-09-13 at 16:49:57 | INFO | Added overlapping amplicon for 1231621_final: 8663	9686	1
2023-09-13 at 16:49:57 | INFO | Added overlapping amplicon for 1231621_final: 9509	10517	2
2023-09-13 at 16:49:57 | INFO | Added overlapping amplicon for 1231621_final: 9975	10988	1
2023-09-13 at 16:49:57 | INFO | Writting output files
