2023-09-13 at 16:50:05 | INFO | Creating the Mismatch Database
2023-09-13 at 16:50:06 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/27/9a258187fb1dcaa0a06b614bb1c669/gadgets-gully-virus--64307/work/mismatch.db
2023-09-13 at 16:50:06 | INFO | Read in MSA: 64307_final	seqs:2	cols:10792
2023-09-13 at 16:50:07 | INFO | 64307_final: digested to 2870 FKmers and 3072 RKmers
2023-09-13 at 16:50:32 | INFO | 64307_final: Generated 140620 possible amplicons
2023-09-13 at 16:50:32 | INFO | Added first amplicon for 64307_final: 1	1002	1
2023-09-13 at 16:50:32 | INFO | Added overlapping amplicon for 64307_final: 856	1884	2
2023-09-13 at 16:50:32 | INFO | Added overlapping amplicon for 64307_final: 1670	2657	1
2023-09-13 at 16:50:32 | INFO | Added overlapping amplicon for 64307_final: 2506	3529	2
2023-09-13 at 16:50:32 | INFO | Added overlapping amplicon for 64307_final: 3371	4395	1
2023-09-13 at 16:50:33 | INFO | Added overlapping amplicon for 64307_final: 4171	5194	2
2023-09-13 at 16:50:33 | INFO | Added overlapping amplicon for 64307_final: 5029	6052	1
2023-09-13 at 16:50:33 | INFO | Added overlapping amplicon for 64307_final: 5902	6926	2
2023-09-13 at 16:50:33 | INFO | Added overlapping amplicon for 64307_final: 6769	7773	1
2023-09-13 at 16:50:33 | INFO | Added overlapping amplicon for 64307_final: 7576	8597	2
2023-09-13 at 16:50:33 | INFO | Added overlapping amplicon for 64307_final: 8357	9381	1
2023-09-13 at 16:50:33 | INFO | Added overlapping amplicon for 64307_final: 9220	10239	2
2023-09-13 at 16:50:33 | INFO | Added overlapping amplicon for 64307_final: 9741	10758	1
2023-09-13 at 16:50:33 | INFO | Writting output files
