2023-09-13 at 16:48:44 | INFO | Creating the Mismatch Database
2023-09-13 at 16:48:44 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/cd/2ea1bdaa8da55ca60d16295d3a83df/greek-goat-encephalitis-virus--41406/work/mismatch.db
2023-09-13 at 16:48:44 | INFO | Read in MSA: 41406_final	seqs:1	cols:10245
2023-09-13 at 16:48:45 | INFO | 41406_final: digested to 3704 FKmers and 3758 RKmers
2023-09-13 at 16:49:28 | INFO | 41406_final: Generated 240790 possible amplicons
2023-09-13 at 16:49:28 | INFO | Added first amplicon for 41406_final: 7	1028	1
2023-09-13 at 16:49:28 | INFO | Added overlapping amplicon for 41406_final: 854	1876	2
2023-09-13 at 16:49:28 | INFO | Added overlapping amplicon for 41406_final: 1700	2716	1
2023-09-13 at 16:49:29 | INFO | Added overlapping amplicon for 41406_final: 2551	3570	2
2023-09-13 at 16:49:29 | INFO | Added overlapping amplicon for 41406_final: 3369	4376	1
2023-09-13 at 16:49:29 | INFO | Added overlapping amplicon for 41406_final: 4197	5219	2
2023-09-13 at 16:49:29 | INFO | Added overlapping amplicon for 41406_final: 5048	6071	1
2023-09-13 at 16:49:29 | INFO | Added overlapping amplicon for 41406_final: 5923	6948	2
2023-09-13 at 16:49:29 | INFO | Added overlapping amplicon for 41406_final: 6766	7788	1
2023-09-13 at 16:49:29 | INFO | Added overlapping amplicon for 41406_final: 7618	8631	2
2023-09-13 at 16:49:29 | INFO | Added overlapping amplicon for 41406_final: 8482	9503	1
2023-09-13 at 16:49:29 | INFO | Added overlapping amplicon for 41406_final: 9175	10196	2
2023-09-13 at 16:49:29 | INFO | Writting output files
