2023-09-13 at 16:48:41 | INFO | Creating the Mismatch Database
2023-09-13 at 16:48:42 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/62/57f368a098114d1140c15db4ffecc4/hangzhou-flavivirus-1--2905434/work/mismatch.db
2023-09-13 at 16:48:42 | INFO | Read in MSA: 2905434_final	seqs:1	cols:23810
2023-09-13 at 16:48:46 | INFO | 2905434_final: digested to 13204 FKmers and 13529 RKmers
2023-09-13 at 16:52:46 | INFO | 2905434_final: Generated 1462713 possible amplicons
2023-09-13 at 16:52:46 | INFO | Added first amplicon for 2905434_final: 0	1035	1
2023-09-13 at 16:52:46 | INFO | Added overlapping amplicon for 2905434_final: 858	1882	2
2023-09-13 at 16:52:46 | INFO | Added overlapping amplicon for 2905434_final: 1721	2750	1
2023-09-13 at 16:52:46 | INFO | Added overlapping amplicon for 2905434_final: 2557	3588	2
2023-09-13 at 16:52:46 | INFO | Added overlapping amplicon for 2905434_final: 3400	4430	1
2023-09-13 at 16:52:47 | INFO | Added overlapping amplicon for 2905434_final: 4265	5299	2
2023-09-13 at 16:52:47 | INFO | Added overlapping amplicon for 2905434_final: 5134	6165	1
2023-09-13 at 16:52:47 | INFO | Added overlapping amplicon for 2905434_final: 6006	7038	2
2023-09-13 at 16:52:47 | INFO | Added overlapping amplicon for 2905434_final: 6883	7901	1
2023-09-13 at 16:52:47 | INFO | Added overlapping amplicon for 2905434_final: 7751	8771	2
2023-09-13 at 16:52:47 | INFO | Added overlapping amplicon for 2905434_final: 8615	9645	1
2023-09-13 at 16:52:47 | INFO | Added overlapping amplicon for 2905434_final: 9468	10486	2
2023-09-13 at 16:52:47 | INFO | Added overlapping amplicon for 2905434_final: 10335	11362	1
2023-09-13 at 16:52:48 | INFO | Added overlapping amplicon for 2905434_final: 11177	12199	2
2023-09-13 at 16:52:48 | INFO | Added overlapping amplicon for 2905434_final: 12039	13071	1
2023-09-13 at 16:52:48 | INFO | Added overlapping amplicon for 2905434_final: 12907	13932	2
2023-09-13 at 16:52:48 | INFO | Added overlapping amplicon for 2905434_final: 13771	14800	1
2023-09-13 at 16:52:48 | INFO | Added overlapping amplicon for 2905434_final: 14637	15656	2
2023-09-13 at 16:52:49 | INFO | Added overlapping amplicon for 2905434_final: 15483	16511	1
2023-09-13 at 16:52:49 | INFO | Added overlapping amplicon for 2905434_final: 16340	17370	2
2023-09-13 at 16:52:49 | INFO | Added overlapping amplicon for 2905434_final: 17211	18241	1
2023-09-13 at 16:52:49 | INFO | Added overlapping amplicon for 2905434_final: 18084	19117	2
2023-09-13 at 16:52:49 | INFO | Added overlapping amplicon for 2905434_final: 18951	19978	1
2023-09-13 at 16:52:49 | INFO | Added overlapping amplicon for 2905434_final: 19823	20856	2
2023-09-13 at 16:52:49 | INFO | Added overlapping amplicon for 2905434_final: 20686	21706	1
2023-09-13 at 16:52:50 | INFO | Added overlapping amplicon for 2905434_final: 21493	22517	2
2023-09-13 at 16:52:50 | INFO | Added overlapping amplicon for 2905434_final: 22348	23366	1
2023-09-13 at 16:52:50 | INFO | Added overlapping amplicon for 2905434_final: 22755	23779	2
2023-09-13 at 16:52:50 | INFO | Writting output files
