2023-09-13 at 16:45:04 | INFO | Creating the Mismatch Database
2023-09-13 at 16:45:05 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/f5/2ee3d0552fda2f8fa95bf76f739e94/hangzhou-frankliniella-intonsa-flavivirus-2--2905438/work/mismatch.db
2023-09-13 at 16:45:05 | INFO | Read in MSA: 2905438_final	seqs:1	cols:18934
2023-09-13 at 16:45:07 | INFO | 2905438_final: digested to 10214 FKmers and 10348 RKmers
2023-09-13 at 16:47:50 | INFO | 2905438_final: Generated 1073278 possible amplicons
2023-09-13 at 16:47:50 | INFO | Added first amplicon for 2905438_final: 8	1033	1
2023-09-13 at 16:47:51 | INFO | Added overlapping amplicon for 2905438_final: 858	1877	2
2023-09-13 at 16:47:51 | INFO | Added overlapping amplicon for 2905438_final: 1730	2754	1
2023-09-13 at 16:47:51 | INFO | Added overlapping amplicon for 2905438_final: 2596	3616	2
2023-09-13 at 16:47:51 | INFO | Added overlapping amplicon for 2905438_final: 3470	4497	1
2023-09-13 at 16:47:51 | INFO | Added overlapping amplicon for 2905438_final: 4346	5375	2
2023-09-13 at 16:47:51 | INFO | Added overlapping amplicon for 2905438_final: 5219	6241	1
2023-09-13 at 16:47:51 | INFO | Added overlapping amplicon for 2905438_final: 6080	7104	2
2023-09-13 at 16:47:51 | INFO | Added overlapping amplicon for 2905438_final: 6940	7967	1
2023-09-13 at 16:47:52 | INFO | Added overlapping amplicon for 2905438_final: 7780	8802	2
2023-09-13 at 16:47:52 | INFO | Added overlapping amplicon for 2905438_final: 8649	9672	1
2023-09-13 at 16:47:52 | INFO | Added overlapping amplicon for 2905438_final: 9515	10542	2
2023-09-13 at 16:47:52 | INFO | Added overlapping amplicon for 2905438_final: 10381	11402	1
2023-09-13 at 16:47:52 | INFO | Added overlapping amplicon for 2905438_final: 11247	12268	2
2023-09-13 at 16:47:52 | INFO | Added overlapping amplicon for 2905438_final: 12123	13149	1
2023-09-13 at 16:47:52 | INFO | Added overlapping amplicon for 2905438_final: 12998	14019	2
2023-09-13 at 16:47:52 | INFO | Added overlapping amplicon for 2905438_final: 13873	14897	1
2023-09-13 at 16:47:52 | INFO | Added overlapping amplicon for 2905438_final: 14733	15754	2
2023-09-13 at 16:47:53 | INFO | Added overlapping amplicon for 2905438_final: 15609	16631	1
2023-09-13 at 16:47:53 | INFO | Added overlapping amplicon for 2905438_final: 16483	17512	2
2023-09-13 at 16:47:53 | INFO | Added overlapping amplicon for 2905438_final: 17334	18351	1
2023-09-13 at 16:47:53 | INFO | Added overlapping amplicon for 2905438_final: 17959	18930	2
2023-09-13 at 16:47:53 | INFO | Writting output files
