2023-09-13 at 16:46:06 | INFO | Creating the Mismatch Database
2023-09-13 at 16:46:06 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/f7/ee2c47602a00625847f2ad8631e935/hangzhou-nephotettix-cincticeps-flavivirus-1--2905439/work/mismatch.db
2023-09-13 at 16:46:06 | INFO | Read in MSA: 2905439_final	seqs:1	cols:22197
2023-09-13 at 16:46:10 | INFO | 2905439_final: digested to 12697 FKmers and 13510 RKmers
2023-09-13 at 16:49:58 | INFO | 2905439_final: Generated 1492965 possible amplicons
2023-09-13 at 16:49:58 | INFO | Added first amplicon for 2905439_final: 3	1024	1
2023-09-13 at 16:49:58 | INFO | Added overlapping amplicon for 2905439_final: 866	1897	2
2023-09-13 at 16:49:58 | INFO | Added overlapping amplicon for 2905439_final: 1735	2758	1
2023-09-13 at 16:49:58 | INFO | Added overlapping amplicon for 2905439_final: 2614	3640	2
2023-09-13 at 16:49:59 | INFO | Added overlapping amplicon for 2905439_final: 3480	4512	1
2023-09-13 at 16:49:59 | INFO | Added overlapping amplicon for 2905439_final: 4342	5371	2
2023-09-13 at 16:49:59 | INFO | Added overlapping amplicon for 2905439_final: 5191	6222	1
2023-09-13 at 16:49:59 | INFO | Added overlapping amplicon for 2905439_final: 6051	7072	2
2023-09-13 at 16:49:59 | INFO | Added overlapping amplicon for 2905439_final: 6919	7944	1
2023-09-13 at 16:49:59 | INFO | Added overlapping amplicon for 2905439_final: 7780	8810	2
2023-09-13 at 16:49:59 | INFO | Added overlapping amplicon for 2905439_final: 8635	9664	1
2023-09-13 at 16:49:59 | INFO | Added overlapping amplicon for 2905439_final: 9482	10510	2
2023-09-13 at 16:50:00 | INFO | Added overlapping amplicon for 2905439_final: 10282	11302	1
2023-09-13 at 16:50:00 | INFO | Added overlapping amplicon for 2905439_final: 11113	12145	2
2023-09-13 at 16:50:00 | INFO | Added overlapping amplicon for 2905439_final: 11982	13010	1
2023-09-13 at 16:50:00 | INFO | Added overlapping amplicon for 2905439_final: 12833	13864	2
2023-09-13 at 16:50:00 | INFO | Added overlapping amplicon for 2905439_final: 13708	14729	1
2023-09-13 at 16:50:00 | INFO | Added overlapping amplicon for 2905439_final: 14578	15589	2
2023-09-13 at 16:50:00 | INFO | Added overlapping amplicon for 2905439_final: 15424	16449	1
2023-09-13 at 16:50:00 | INFO | Added overlapping amplicon for 2905439_final: 16274	17303	2
2023-09-13 at 16:50:00 | INFO | Added overlapping amplicon for 2905439_final: 17148	18179	1
2023-09-13 at 16:50:01 | INFO | Added overlapping amplicon for 2905439_final: 17952	18988	2
2023-09-13 at 16:50:01 | INFO | Added overlapping amplicon for 2905439_final: 18816	19849	1
2023-09-13 at 16:50:01 | INFO | Added overlapping amplicon for 2905439_final: 19675	20708	2
2023-09-13 at 16:50:01 | INFO | Added overlapping amplicon for 2905439_final: 20546	21570	1
2023-09-13 at 16:50:01 | INFO | Added overlapping amplicon for 2905439_final: 21132	22151	2
2023-09-13 at 16:50:01 | INFO | Writting output files
