2023-09-13 at 16:51:29 | INFO | Creating the Mismatch Database
2023-09-13 at 16:51:29 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/df/b05a86eef3ce3d7e3332d88dec3566/hangzhou-ochthera-mantis-flavivirus-1--2905440/work/mismatch.db
2023-09-13 at 16:51:29 | INFO | Read in MSA: 2905440_final	seqs:2	cols:13600
2023-09-13 at 16:51:33 | INFO | 2905440_final: digested to 7854 FKmers and 8171 RKmers
2023-09-13 at 16:53:42 | INFO | 2905440_final: Generated 902187 possible amplicons
2023-09-13 at 16:53:42 | INFO | Added first amplicon for 2905440_final: 2	1030	1
2023-09-13 at 16:53:42 | INFO | Added overlapping amplicon for 2905440_final: 873	1905	2
2023-09-13 at 16:53:42 | INFO | Added overlapping amplicon for 2905440_final: 1732	2762	1
2023-09-13 at 16:53:42 | INFO | Added overlapping amplicon for 2905440_final: 2597	3623	2
2023-09-13 at 16:53:42 | INFO | Added overlapping amplicon for 2905440_final: 3464	4490	1
2023-09-13 at 16:53:42 | INFO | Added overlapping amplicon for 2905440_final: 4326	5356	2
2023-09-13 at 16:53:42 | INFO | Added overlapping amplicon for 2905440_final: 5172	6201	1
2023-09-13 at 16:53:42 | INFO | Added overlapping amplicon for 2905440_final: 6043	7065	2
2023-09-13 at 16:53:42 | INFO | Added overlapping amplicon for 2905440_final: 6861	7889	1
2023-09-13 at 16:53:42 | INFO | Added overlapping amplicon for 2905440_final: 7728	8760	2
2023-09-13 at 16:53:42 | INFO | Added overlapping amplicon for 2905440_final: 8583	9607	1
2023-09-13 at 16:53:43 | INFO | Added overlapping amplicon for 2905440_final: 9452	10482	2
2023-09-13 at 16:53:43 | INFO | Added overlapping amplicon for 2905440_final: 10306	11335	1
2023-09-13 at 16:53:43 | INFO | Added overlapping amplicon for 2905440_final: 11149	12181	2
2023-09-13 at 16:53:43 | INFO | Added overlapping amplicon for 2905440_final: 12018	13042	1
2023-09-13 at 16:53:43 | INFO | Added overlapping amplicon for 2905440_final: 12579	13599	2
2023-09-13 at 16:53:43 | INFO | Writting output files
