2023-09-13 at 16:49:22 | INFO | Creating the Mismatch Database
2023-09-13 at 16:49:23 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/62/db0b9352276666a9c95af23404a511/hanko-virus--1125677/work/mismatch.db
2023-09-13 at 16:49:23 | INFO | Read in MSA: 1125677_final	seqs:5	cols:10910
2023-09-13 at 16:49:26 | INFO | 1125677_final: digested to 6101 FKmers and 6273 RKmers
2023-09-13 at 16:51:23 | INFO | 1125677_final: Generated 653387 possible amplicons
2023-09-13 at 16:51:23 | INFO | Added first amplicon for 1125677_final: 37	1062	1
2023-09-13 at 16:51:23 | INFO | Added overlapping amplicon for 1125677_final: 876	1902	2
2023-09-13 at 16:51:23 | INFO | Added overlapping amplicon for 1125677_final: 1738	2762	1
2023-09-13 at 16:51:23 | INFO | Added overlapping amplicon for 1125677_final: 2595	3619	2
2023-09-13 at 16:51:23 | INFO | Added overlapping amplicon for 1125677_final: 3452	4466	1
2023-09-13 at 16:51:23 | INFO | Added overlapping amplicon for 1125677_final: 4256	5275	2
2023-09-13 at 16:51:23 | INFO | Added overlapping amplicon for 1125677_final: 5073	6071	1
2023-09-13 at 16:51:24 | INFO | Added overlapping amplicon for 1125677_final: 5918	6941	2
2023-09-13 at 16:51:24 | INFO | Added overlapping amplicon for 1125677_final: 6743	7771	1
2023-09-13 at 16:51:24 | INFO | Added overlapping amplicon for 1125677_final: 7586	8613	2
2023-09-13 at 16:51:24 | INFO | Added overlapping amplicon for 1125677_final: 8414	9438	1
2023-09-13 at 16:51:24 | INFO | Added overlapping amplicon for 1125677_final: 9289	10270	2
2023-09-13 at 16:51:24 | INFO | Added overlapping amplicon for 1125677_final: 9864	10885	1
2023-09-13 at 16:51:25 | INFO | Writting output files
