2023-09-13 at 16:47:00 | INFO | Creating the Mismatch Database
2023-09-13 at 16:47:00 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/26/21d4099ff2b6767f29c6dfb7025cfa/iguape-virus--64308/work/mismatch.db
2023-09-13 at 16:47:00 | INFO | Read in MSA: 64308_final	seqs:1	cols:10922
2023-09-13 at 16:47:02 | INFO | 64308_final: digested to 4881 FKmers and 5181 RKmers
2023-09-13 at 16:48:13 | INFO | 64308_final: Generated 433583 possible amplicons
2023-09-13 at 16:48:13 | INFO | Added first amplicon for 64308_final: 9	1024	1
2023-09-13 at 16:48:13 | INFO | Added overlapping amplicon for 64308_final: 865	1860	2
2023-09-13 at 16:48:13 | INFO | Added overlapping amplicon for 64308_final: 1712	2733	1
2023-09-13 at 16:48:13 | INFO | Added overlapping amplicon for 64308_final: 2584	3605	2
2023-09-13 at 16:48:13 | INFO | Added overlapping amplicon for 64308_final: 3460	4485	1
2023-09-13 at 16:48:13 | INFO | Added overlapping amplicon for 64308_final: 4336	5358	2
2023-09-13 at 16:48:13 | INFO | Added overlapping amplicon for 64308_final: 5178	6195	1
2023-09-13 at 16:48:14 | INFO | Added overlapping amplicon for 64308_final: 6026	7041	2
2023-09-13 at 16:48:14 | INFO | Added overlapping amplicon for 64308_final: 6870	7891	1
2023-09-13 at 16:48:14 | INFO | Added overlapping amplicon for 64308_final: 7716	8737	2
2023-09-13 at 16:48:14 | INFO | Added overlapping amplicon for 64308_final: 8588	9610	1
2023-09-13 at 16:48:14 | INFO | Added overlapping amplicon for 64308_final: 9411	10402	2
2023-09-13 at 16:48:14 | INFO | Added overlapping amplicon for 64308_final: 9911	10920	1
2023-09-13 at 16:48:14 | INFO | Writting output files
