2023-09-13 at 16:50:42 | INFO | Creating the Mismatch Database
2023-09-13 at 16:50:43 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/9a/4c85b35b2766bf4009adecfe64e680/lake-victoria-marburgvirus-drc1999--378831/work/mismatch.db
2023-09-13 at 16:50:43 | INFO | Read in MSA: 378831_final	seqs:3	cols:19116
2023-09-13 at 16:50:50 | INFO | 378831_final: digested to 7047 FKmers and 7035 RKmers
2023-09-13 at 16:52:06 | INFO | 378831_final: Generated 485455 possible amplicons
2023-09-13 at 16:52:06 | INFO | Added first amplicon for 378831_final: 0	1002	1
2023-09-13 at 16:52:06 | INFO | Added overlapping amplicon for 378831_final: 831	1826	2
2023-09-13 at 16:52:06 | INFO | Added overlapping amplicon for 378831_final: 1670	2698	1
2023-09-13 at 16:52:06 | INFO | Added overlapping amplicon for 378831_final: 2415	3421	2
2023-09-13 at 16:52:06 | INFO | Added overlapping amplicon for 378831_final: 3269	4295	1
2023-09-13 at 16:52:06 | INFO | Added overlapping amplicon for 378831_final: 4084	5091	2
2023-09-13 at 16:52:06 | INFO | Added overlapping amplicon for 378831_final: 4904	5937	1
2023-09-13 at 16:52:06 | INFO | Added overlapping amplicon for 378831_final: 5735	6753	2
2023-09-13 at 16:52:06 | INFO | Added overlapping amplicon for 378831_final: 6550	7566	1
2023-09-13 at 16:52:07 | INFO | Added overlapping amplicon for 378831_final: 7299	8324	2
2023-09-13 at 16:52:07 | INFO | Added overlapping amplicon for 378831_final: 8046	9073	1
2023-09-13 at 16:52:07 | INFO | Added overlapping amplicon for 378831_final: 8901	9920	2
2023-09-13 at 16:52:07 | INFO | Added overlapping amplicon for 378831_final: 9757	10784	1
2023-09-13 at 16:52:07 | INFO | Added overlapping amplicon for 378831_final: 10619	11633	2
2023-09-13 at 16:52:08 | INFO | Added overlapping amplicon for 378831_final: 11477	12504	1
2023-09-13 at 16:52:08 | INFO | Added overlapping amplicon for 378831_final: 12341	13367	2
2023-09-13 at 16:52:08 | INFO | Added overlapping amplicon for 378831_final: 13186	14213	1
2023-09-13 at 16:52:08 | INFO | Added overlapping amplicon for 378831_final: 14040	15066	2
2023-09-13 at 16:52:08 | INFO | Added overlapping amplicon for 378831_final: 14884	15912	1
2023-09-13 at 16:52:08 | INFO | Added overlapping amplicon for 378831_final: 15741	16774	2
2023-09-13 at 16:52:08 | INFO | Added overlapping amplicon for 378831_final: 16547	17582	1
2023-09-13 at 16:52:08 | INFO | Added overlapping amplicon for 378831_final: 17413	18446	2
2023-09-13 at 16:52:09 | INFO | Added overlapping amplicon for 378831_final: 18000	19007	1
2023-09-13 at 16:52:09 | INFO | Writting output files
