2023-09-13 at 16:48:09 | INFO | Creating the Mismatch Database
2023-09-13 at 16:48:09 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/4a/90567e471abcdab9487720d7ca4947/layer-flavivirus-cjd05--1098914/work/mismatch.db
2023-09-13 at 16:48:09 | INFO | Read in MSA: 1098914_final	seqs:1	cols:10368
2023-09-13 at 16:48:11 | INFO | 1098914_final: digested to 5691 FKmers and 5958 RKmers
2023-09-13 at 16:49:56 | INFO | 1098914_final: Generated 604249 possible amplicons
2023-09-13 at 16:49:56 | INFO | Added first amplicon for 1098914_final: 3	1014	1
2023-09-13 at 16:49:56 | INFO | Added overlapping amplicon for 1098914_final: 864	1895	2
2023-09-13 at 16:49:56 | INFO | Added overlapping amplicon for 1098914_final: 1711	2736	1
2023-09-13 at 16:49:57 | INFO | Added overlapping amplicon for 1098914_final: 2581	3598	2
2023-09-13 at 16:49:57 | INFO | Added overlapping amplicon for 1098914_final: 3455	4475	1
2023-09-13 at 16:49:57 | INFO | Added overlapping amplicon for 1098914_final: 4329	5351	2
2023-09-13 at 16:49:57 | INFO | Added overlapping amplicon for 1098914_final: 5188	6212	1
2023-09-13 at 16:49:57 | INFO | Added overlapping amplicon for 1098914_final: 6057	7089	2
2023-09-13 at 16:49:57 | INFO | Added overlapping amplicon for 1098914_final: 6934	7956	1
2023-09-13 at 16:49:57 | INFO | Added overlapping amplicon for 1098914_final: 7781	8802	2
2023-09-13 at 16:49:57 | INFO | Added overlapping amplicon for 1098914_final: 8655	9676	1
2023-09-13 at 16:49:57 | INFO | Added overlapping amplicon for 1098914_final: 9345	10366	2
2023-09-13 at 16:49:58 | INFO | Writting output files
