2023-09-13 at 16:43:07 | INFO | Creating the Mismatch Database
2023-09-13 at 16:43:07 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/24/3e97f80fd2add0c8909a13068ebfd9/mansonia-flavivirus--2751816/work/mismatch.db
2023-09-13 at 16:43:07 | INFO | Read in MSA: 2751816_final	seqs:1	cols:10922
2023-09-13 at 16:43:10 | INFO | 2751816_final: digested to 5241 FKmers and 5366 RKmers
2023-09-13 at 16:44:47 | INFO | 2751816_final: Generated 476956 possible amplicons
2023-09-13 at 16:44:47 | INFO | Added first amplicon for 2751816_final: 13	1045	1
2023-09-13 at 16:44:47 | INFO | Added overlapping amplicon for 2751816_final: 885	1911	2
2023-09-13 at 16:44:47 | INFO | Added overlapping amplicon for 2751816_final: 1752	2778	1
2023-09-13 at 16:44:47 | INFO | Added overlapping amplicon for 2751816_final: 2616	3636	2
2023-09-13 at 16:44:47 | INFO | Added overlapping amplicon for 2751816_final: 3492	4514	1
2023-09-13 at 16:44:47 | INFO | Added overlapping amplicon for 2751816_final: 4363	5387	2
2023-09-13 at 16:44:47 | INFO | Added overlapping amplicon for 2751816_final: 5236	6259	1
2023-09-13 at 16:44:47 | INFO | Added overlapping amplicon for 2751816_final: 6100	7125	2
2023-09-13 at 16:44:48 | INFO | Added overlapping amplicon for 2751816_final: 6973	7999	1
2023-09-13 at 16:44:48 | INFO | Added overlapping amplicon for 2751816_final: 7838	8862	2
2023-09-13 at 16:44:48 | INFO | Added overlapping amplicon for 2751816_final: 8704	9725	1
2023-09-13 at 16:44:48 | INFO | Added overlapping amplicon for 2751816_final: 9575	10598	2
2023-09-13 at 16:44:48 | INFO | Added overlapping amplicon for 2751816_final: 9899	10921	1
2023-09-13 at 16:44:48 | INFO | Writting output files
