2023-09-13 at 16:43:08 | INFO | Creating the Mismatch Database
2023-09-13 at 16:43:08 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/6f/2f194b085cf401bb63f95cff62db2a/meaban-virus--35279/work/mismatch.db
2023-09-13 at 16:43:08 | INFO | Read in MSA: 35279_final	seqs:1	cols:10266
2023-09-13 at 16:43:10 | INFO | 35279_final: digested to 3828 FKmers and 4102 RKmers
2023-09-13 at 16:44:02 | INFO | 35279_final: Generated 270788 possible amplicons
2023-09-13 at 16:44:02 | INFO | Added first amplicon for 35279_final: 2	1028	1
2023-09-13 at 16:44:02 | INFO | Added overlapping amplicon for 35279_final: 875	1897	2
2023-09-13 at 16:44:02 | INFO | Added overlapping amplicon for 35279_final: 1748	2767	1
2023-09-13 at 16:44:02 | INFO | Added overlapping amplicon for 35279_final: 2620	3641	2
2023-09-13 at 16:44:03 | INFO | Added overlapping amplicon for 35279_final: 3493	4516	1
2023-09-13 at 16:44:03 | INFO | Added overlapping amplicon for 35279_final: 4340	5362	2
2023-09-13 at 16:44:03 | INFO | Added overlapping amplicon for 35279_final: 5197	6220	1
2023-09-13 at 16:44:03 | INFO | Added overlapping amplicon for 35279_final: 6056	7077	2
2023-09-13 at 16:44:03 | INFO | Added overlapping amplicon for 35279_final: 6927	7950	1
2023-09-13 at 16:44:03 | INFO | Added overlapping amplicon for 35279_final: 7745	8772	2
2023-09-13 at 16:44:03 | INFO | Added overlapping amplicon for 35279_final: 8621	9643	1
2023-09-13 at 16:44:03 | INFO | Added overlapping amplicon for 35279_final: 9262	10262	2
2023-09-13 at 16:44:03 | INFO | Writting output files
