2023-09-13 at 16:49:42 | INFO | Creating the Mismatch Database
2023-09-13 at 16:49:43 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/b5/9d62a2ed3053a39150234449366ede/mercadeo-virus--1708574/work/mismatch.db
2023-09-13 at 16:49:43 | INFO | Read in MSA: 1708574_final	seqs:2	cols:10938
2023-09-13 at 16:49:45 | INFO | 1708574_final: digested to 4858 FKmers and 5119 RKmers
2023-09-13 at 16:50:52 | INFO | 1708574_final: Generated 416127 possible amplicons
2023-09-13 at 16:50:52 | INFO | Added first amplicon for 1708574_final: 0	1018	1
2023-09-13 at 16:50:52 | INFO | Added overlapping amplicon for 1708574_final: 845	1858	2
2023-09-13 at 16:50:52 | INFO | Added overlapping amplicon for 1708574_final: 1681	2704	1
2023-09-13 at 16:50:52 | INFO | Added overlapping amplicon for 1708574_final: 2527	3550	2
2023-09-13 at 16:50:52 | INFO | Added overlapping amplicon for 1708574_final: 3390	4413	1
2023-09-13 at 16:50:52 | INFO | Added overlapping amplicon for 1708574_final: 4258	5276	2
2023-09-13 at 16:50:52 | INFO | Added overlapping amplicon for 1708574_final: 5113	6131	1
2023-09-13 at 16:50:52 | INFO | Added overlapping amplicon for 1708574_final: 5983	7008	2
2023-09-13 at 16:50:52 | INFO | Added overlapping amplicon for 1708574_final: 6847	7845	1
2023-09-13 at 16:50:53 | INFO | Added overlapping amplicon for 1708574_final: 7697	8715	2
2023-09-13 at 16:50:53 | INFO | Added overlapping amplicon for 1708574_final: 8550	9572	1
2023-09-13 at 16:50:53 | INFO | Added overlapping amplicon for 1708574_final: 9422	10425	2
2023-09-13 at 16:50:53 | INFO | Added overlapping amplicon for 1708574_final: 9989	10937	1
2023-09-13 at 16:50:53 | INFO | Writting output files
