2023-09-13 at 16:49:54 | INFO | Creating the Mismatch Database
2023-09-13 at 16:49:54 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/f2/de037c478cee77220162d616773f13/modoc-virus--64300/work/mismatch.db
2023-09-13 at 16:49:54 | INFO | Read in MSA: 64300_final	seqs:2	cols:10601
2023-09-13 at 16:49:57 | INFO | 64300_final: digested to 4945 FKmers and 5234 RKmers
2023-09-13 at 16:51:15 | INFO | 64300_final: Generated 447552 possible amplicons
2023-09-13 at 16:51:15 | INFO | Added first amplicon for 64300_final: 44	1069	1
2023-09-13 at 16:51:15 | INFO | Added overlapping amplicon for 64300_final: 907	1918	2
2023-09-13 at 16:51:15 | INFO | Added overlapping amplicon for 64300_final: 1754	2767	1
2023-09-13 at 16:51:15 | INFO | Added overlapping amplicon for 64300_final: 2565	3594	2
2023-09-13 at 16:51:15 | INFO | Added overlapping amplicon for 64300_final: 3378	4405	1
2023-09-13 at 16:51:15 | INFO | Added overlapping amplicon for 64300_final: 4205	5167	2
2023-09-13 at 16:51:16 | INFO | Added overlapping amplicon for 64300_final: 5005	6031	1
2023-09-13 at 16:51:16 | INFO | Added overlapping amplicon for 64300_final: 5828	6785	2
2023-09-13 at 16:51:16 | INFO | Added overlapping amplicon for 64300_final: 6605	7631	1
2023-09-13 at 16:51:16 | INFO | Added overlapping amplicon for 64300_final: 7469	8488	2
2023-09-13 at 16:51:16 | INFO | Added overlapping amplicon for 64300_final: 8302	9328	1
2023-09-13 at 16:51:16 | INFO | Added overlapping amplicon for 64300_final: 9159	10161	2
2023-09-13 at 16:51:16 | INFO | Added overlapping amplicon for 64300_final: 9563	10563	1
2023-09-13 at 16:51:16 | INFO | Writting output files
