2023-09-13 at 16:51:19 | INFO | Creating the Mismatch Database
2023-09-13 at 16:51:20 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/58/562ae28a98d8f59c8b3a001b65dd58/mosquito-flavivirus--673515/work/mismatch.db
2023-09-13 at 16:51:20 | INFO | Read in MSA: 673515_final	seqs:6	cols:11007
2023-09-13 at 16:51:23 | INFO | 673515_final: digested to 2027 FKmers and 2210 RKmers
2023-09-13 at 16:51:36 | INFO | 673515_final: Generated 79112 possible amplicons
2023-09-13 at 16:51:36 | INFO | Added first amplicon for 673515_final: 31	1032	1
2023-09-13 at 16:51:36 | INFO | Added overlapping amplicon for 673515_final: 796	1819	2
2023-09-13 at 16:51:36 | INFO | Added overlapping amplicon for 673515_final: 1594	2606	1
2023-09-13 at 16:51:36 | INFO | Added overlapping amplicon for 673515_final: 2457	3449	2
2023-09-13 at 16:51:36 | INFO | Added overlapping amplicon for 673515_final: 3169	4180	1
2023-09-13 at 16:51:36 | INFO | Added overlapping amplicon for 673515_final: 3891	4915	2
2023-09-13 at 16:51:36 | INFO | Added overlapping amplicon for 673515_final: 4714	5719	1
2023-09-13 at 16:51:36 | INFO | Added overlapping amplicon for 673515_final: 5560	6582	2
2023-09-13 at 16:51:36 | INFO | Added overlapping amplicon for 673515_final: 6300	7307	1
2023-09-13 at 16:51:36 | INFO | Added overlapping amplicon for 673515_final: 7161	8185	2
2023-09-13 at 16:51:36 | INFO | Added overlapping amplicon for 673515_final: 8033	9053	1
2023-09-13 at 16:51:36 | INFO | Added overlapping amplicon for 673515_final: 8893	9907	2
2023-09-13 at 16:51:36 | INFO | Added overlapping amplicon for 673515_final: 9430	10424	1
2023-09-13 at 16:51:36 | INFO | Added overlapping amplicon for 673515_final: 10007	10998	2
2023-09-13 at 16:51:36 | INFO | Writting output files
