2023-09-13 at 16:43:06 | INFO | Creating the Mismatch Database
2023-09-13 at 16:43:07 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/7c/1b792cba9b69ad35233a73a8328419/new-mapoon-virus--499854/work/mismatch.db
2023-09-13 at 16:43:07 | INFO | Read in MSA: 499854_final	seqs:1	cols:10864
2023-09-13 at 16:43:09 | INFO | 499854_final: digested to 5054 FKmers and 5263 RKmers
2023-09-13 at 16:44:38 | INFO | 499854_final: Generated 443648 possible amplicons
2023-09-13 at 16:44:38 | INFO | Added first amplicon for 499854_final: 7	999	1
2023-09-13 at 16:44:38 | INFO | Added overlapping amplicon for 499854_final: 845	1859	2
2023-09-13 at 16:44:38 | INFO | Added overlapping amplicon for 499854_final: 1692	2712	1
2023-09-13 at 16:44:38 | INFO | Added overlapping amplicon for 499854_final: 2569	3593	2
2023-09-13 at 16:44:38 | INFO | Added overlapping amplicon for 499854_final: 3442	4466	1
2023-09-13 at 16:44:38 | INFO | Added overlapping amplicon for 499854_final: 4315	5342	2
2023-09-13 at 16:44:38 | INFO | Added overlapping amplicon for 499854_final: 5182	6204	1
2023-09-13 at 16:44:38 | INFO | Added overlapping amplicon for 499854_final: 6051	7073	2
2023-09-13 at 16:44:39 | INFO | Added overlapping amplicon for 499854_final: 6920	7941	1
2023-09-13 at 16:44:39 | INFO | Added overlapping amplicon for 499854_final: 7796	8824	2
2023-09-13 at 16:44:39 | INFO | Added overlapping amplicon for 499854_final: 8670	9697	1
2023-09-13 at 16:44:39 | INFO | Added overlapping amplicon for 499854_final: 9546	10555	2
2023-09-13 at 16:44:39 | INFO | Added overlapping amplicon for 499854_final: 9835	10857	1
2023-09-13 at 16:44:39 | INFO | Writting output files
