2023-09-13 at 16:46:49 | INFO | Creating the Mismatch Database
2023-09-13 at 16:46:50 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/47/6230ca31e0d856365f73ba41b96443/paraiso-escondido-virus--1566298/work/mismatch.db
2023-09-13 at 16:46:50 | INFO | Read in MSA: 1566298_final	seqs:1	cols:10761
2023-09-13 at 16:46:51 | INFO | 1566298_final: digested to 5871 FKmers and 6286 RKmers
2023-09-13 at 16:48:37 | INFO | 1566298_final: Generated 622529 possible amplicons
2023-09-13 at 16:48:37 | INFO | Added first amplicon for 1566298_final: 0	1017	1
2023-09-13 at 16:48:37 | INFO | Added overlapping amplicon for 1566298_final: 863	1891	2
2023-09-13 at 16:48:37 | INFO | Added overlapping amplicon for 1566298_final: 1738	2767	1
2023-09-13 at 16:48:37 | INFO | Added overlapping amplicon for 1566298_final: 2617	3642	2
2023-09-13 at 16:48:37 | INFO | Added overlapping amplicon for 1566298_final: 3484	4512	1
2023-09-13 at 16:48:37 | INFO | Added overlapping amplicon for 1566298_final: 4334	5356	2
2023-09-13 at 16:48:37 | INFO | Added overlapping amplicon for 1566298_final: 5209	6233	1
2023-09-13 at 16:48:38 | INFO | Added overlapping amplicon for 1566298_final: 6073	7088	2
2023-09-13 at 16:48:38 | INFO | Added overlapping amplicon for 1566298_final: 6947	7972	1
2023-09-13 at 16:48:38 | INFO | Added overlapping amplicon for 1566298_final: 7800	8821	2
2023-09-13 at 16:48:38 | INFO | Added overlapping amplicon for 1566298_final: 8665	9688	1
2023-09-13 at 16:48:38 | INFO | Added overlapping amplicon for 1566298_final: 9533	10555	2
2023-09-13 at 16:48:38 | INFO | Added overlapping amplicon for 1566298_final: 9730	10752	1
2023-09-13 at 16:48:38 | INFO | Writting output files
