2023-09-13 at 16:45:00 | INFO | Creating the Mismatch Database
2023-09-13 at 16:45:00 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/e9/3457bd31a382ad28df0c614a5dd4f3/potiskum-virus--64314/work/mismatch.db
2023-09-13 at 16:45:00 | INFO | Read in MSA: 64314_final	seqs:1	cols:10173
2023-09-13 at 16:45:01 | INFO | 64314_final: digested to 5516 FKmers and 5909 RKmers
2023-09-13 at 16:46:44 | INFO | 64314_final: Generated 587886 possible amplicons
2023-09-13 at 16:46:44 | INFO | Added first amplicon for 64314_final: 1	1026	1
2023-09-13 at 16:46:45 | INFO | Added overlapping amplicon for 64314_final: 874	1906	2
2023-09-13 at 16:46:45 | INFO | Added overlapping amplicon for 64314_final: 1753	2774	1
2023-09-13 at 16:46:45 | INFO | Added overlapping amplicon for 64314_final: 2620	3642	2
2023-09-13 at 16:46:45 | INFO | Added overlapping amplicon for 64314_final: 3486	4508	1
2023-09-13 at 16:46:45 | INFO | Added overlapping amplicon for 64314_final: 4352	5374	2
2023-09-13 at 16:46:45 | INFO | Added overlapping amplicon for 64314_final: 5219	6243	1
2023-09-13 at 16:46:45 | INFO | Added overlapping amplicon for 64314_final: 6056	7078	2
2023-09-13 at 16:46:45 | INFO | Added overlapping amplicon for 64314_final: 6932	7961	1
2023-09-13 at 16:46:45 | INFO | Added overlapping amplicon for 64314_final: 7782	8805	2
2023-09-13 at 16:46:45 | INFO | Added overlapping amplicon for 64314_final: 8656	9678	1
2023-09-13 at 16:46:46 | INFO | Added overlapping amplicon for 64314_final: 9142	10157	2
2023-09-13 at 16:46:46 | INFO | Writting output files
