2023-09-13 at 16:51:11 | INFO | Creating the Mismatch Database
2023-09-13 at 16:51:11 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/e0/458dd0b564d04cd91f6a71a25693ac/ravn-virus-ravn-kenya-1987--378809/work/mismatch.db
2023-09-13 at 16:51:11 | INFO | Read in MSA: 378809_final	seqs:5	cols:19114
2023-09-13 at 16:51:19 | INFO | 378809_final: digested to 10576 FKmers and 10581 RKmers
2023-09-13 at 16:54:01 | INFO | 378809_final: Generated 1140636 possible amplicons
2023-09-13 at 16:54:01 | INFO | Added first amplicon for 378809_final: 0	1017	1
2023-09-13 at 16:54:01 | INFO | Added overlapping amplicon for 378809_final: 874	1903	2
2023-09-13 at 16:54:01 | INFO | Added overlapping amplicon for 378809_final: 1742	2770	1
2023-09-13 at 16:54:02 | INFO | Added overlapping amplicon for 378809_final: 2611	3636	2
2023-09-13 at 16:54:02 | INFO | Added overlapping amplicon for 378809_final: 3459	4491	1
2023-09-13 at 16:54:02 | INFO | Added overlapping amplicon for 378809_final: 4321	5344	2
2023-09-13 at 16:54:02 | INFO | Added overlapping amplicon for 378809_final: 5171	6196	1
2023-09-13 at 16:54:02 | INFO | Added overlapping amplicon for 378809_final: 6048	7073	2
2023-09-13 at 16:54:02 | INFO | Added overlapping amplicon for 378809_final: 6926	7951	1
2023-09-13 at 16:54:02 | INFO | Added overlapping amplicon for 378809_final: 7779	8812	2
2023-09-13 at 16:54:02 | INFO | Added overlapping amplicon for 378809_final: 8630	9655	1
2023-09-13 at 16:54:02 | INFO | Added overlapping amplicon for 378809_final: 9498	10521	2
2023-09-13 at 16:54:02 | INFO | Added overlapping amplicon for 378809_final: 10361	11389	1
2023-09-13 at 16:54:02 | INFO | Added overlapping amplicon for 378809_final: 11228	12252	2
2023-09-13 at 16:54:02 | INFO | Added overlapping amplicon for 378809_final: 12100	13135	1
2023-09-13 at 16:54:02 | INFO | Added overlapping amplicon for 378809_final: 12974	14001	2
2023-09-13 at 16:54:02 | INFO | Added overlapping amplicon for 378809_final: 13845	14875	1
2023-09-13 at 16:54:02 | INFO | Added overlapping amplicon for 378809_final: 14698	15729	2
2023-09-13 at 16:54:02 | INFO | Added overlapping amplicon for 378809_final: 15545	16571	1
2023-09-13 at 16:54:03 | INFO | Added overlapping amplicon for 378809_final: 16419	17447	2
2023-09-13 at 16:54:03 | INFO | Added overlapping amplicon for 378809_final: 17296	18324	1
2023-09-13 at 16:54:03 | INFO | Added overlapping amplicon for 378809_final: 17980	19002	2
2023-09-13 at 16:54:03 | INFO | Writting output files
