2023-09-13 at 16:54:47 | INFO | Creating the Mismatch Database
2023-09-13 at 16:54:47 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/04/7ef46f8c90de010a4a28304471890a/reston-ebolavirus--186539/work/mismatch.db
2023-09-13 at 16:54:47 | INFO | Read in MSA: 186539_final	seqs:7	cols:18892
2023-09-13 at 16:54:53 | INFO | 186539_final: digested to 7798 FKmers and 7850 RKmers
2023-09-13 at 16:55:40 | INFO | 186539_final: Generated 623763 possible amplicons
2023-09-13 at 16:55:40 | INFO | Added first amplicon for 186539_final: 31	1055	1
2023-09-13 at 16:55:40 | INFO | Added overlapping amplicon for 186539_final: 886	1906	2
2023-09-13 at 16:55:40 | INFO | Added overlapping amplicon for 186539_final: 1615	2634	1
2023-09-13 at 16:55:40 | INFO | Added overlapping amplicon for 186539_final: 2468	3493	2
2023-09-13 at 16:55:40 | INFO | Added overlapping amplicon for 186539_final: 3335	4360	1
2023-09-13 at 16:55:40 | INFO | Added overlapping amplicon for 186539_final: 4057	5070	2
2023-09-13 at 16:55:40 | INFO | Added overlapping amplicon for 186539_final: 4902	5915	1
2023-09-13 at 16:55:40 | INFO | Added overlapping amplicon for 186539_final: 5737	6721	2
2023-09-13 at 16:55:40 | INFO | Added overlapping amplicon for 186539_final: 6526	7551	1
2023-09-13 at 16:55:40 | INFO | Added overlapping amplicon for 186539_final: 7086	8073	2
2023-09-13 at 16:55:40 | INFO | Added overlapping amplicon for 186539_final: 7807	8835	1
2023-09-13 at 16:55:40 | INFO | Added overlapping amplicon for 186539_final: 8552	9537	2
2023-09-13 at 16:55:40 | INFO | Added overlapping amplicon for 186539_final: 9374	10407	1
2023-09-13 at 16:55:40 | INFO | Added overlapping amplicon for 186539_final: 10097	11107	2
2023-09-13 at 16:55:40 | INFO | Added overlapping amplicon for 186539_final: 10939	11965	1
2023-09-13 at 16:55:40 | INFO | Added overlapping amplicon for 186539_final: 11780	12739	2
2023-09-13 at 16:55:40 | INFO | Added overlapping amplicon for 186539_final: 12561	13595	1
2023-09-13 at 16:55:40 | INFO | Added overlapping amplicon for 186539_final: 13418	14446	2
2023-09-13 at 16:55:40 | INFO | Added overlapping amplicon for 186539_final: 14238	15238	1
2023-09-13 at 16:55:41 | INFO | Added overlapping amplicon for 186539_final: 15034	16054	2
2023-09-13 at 16:55:41 | INFO | Added overlapping amplicon for 186539_final: 15846	16842	1
2023-09-13 at 16:55:41 | INFO | Added overlapping amplicon for 186539_final: 16660	17682	2
2023-09-13 at 16:55:41 | INFO | Added overlapping amplicon for 186539_final: 17510	18522	1
2023-09-13 at 16:55:41 | INFO | Added overlapping amplicon for 186539_final: 17731	18735	2
2023-09-13 at 16:55:41 | INFO | Writting output files
