2023-09-13 at 16:51:43 | INFO | Creating the Mismatch Database
2023-09-13 at 16:51:43 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/3d/24a458630e176d506b0b59a6da2d81/rio-bravo-virus--64285/work/mismatch.db
2023-09-13 at 16:51:43 | INFO | Read in MSA: 64285_final	seqs:2	cols:10742
2023-09-13 at 16:51:45 | INFO | 64285_final: digested to 6605 FKmers and 6841 RKmers
2023-09-13 at 16:53:29 | INFO | 64285_final: Generated 790788 possible amplicons
2023-09-13 at 16:53:29 | INFO | Added first amplicon for 64285_final: 11	1038	1
2023-09-13 at 16:53:29 | INFO | Added overlapping amplicon for 64285_final: 877	1903	2
2023-09-13 at 16:53:29 | INFO | Added overlapping amplicon for 64285_final: 1746	2771	1
2023-09-13 at 16:53:29 | INFO | Added overlapping amplicon for 64285_final: 2614	3634	2
2023-09-13 at 16:53:29 | INFO | Added overlapping amplicon for 64285_final: 3490	4517	1
2023-09-13 at 16:53:29 | INFO | Added overlapping amplicon for 64285_final: 4360	5384	2
2023-09-13 at 16:53:29 | INFO | Added overlapping amplicon for 64285_final: 5239	6267	1
2023-09-13 at 16:53:29 | INFO | Added overlapping amplicon for 64285_final: 6117	7141	2
2023-09-13 at 16:53:30 | INFO | Added overlapping amplicon for 64285_final: 6988	8020	1
2023-09-13 at 16:53:30 | INFO | Added overlapping amplicon for 64285_final: 7858	8885	2
2023-09-13 at 16:53:30 | INFO | Added overlapping amplicon for 64285_final: 8727	9732	1
2023-09-13 at 16:53:30 | INFO | Added overlapping amplicon for 64285_final: 9578	10600	2
2023-09-13 at 16:53:30 | INFO | Added overlapping amplicon for 64285_final: 9733	10734	1
2023-09-13 at 16:53:30 | INFO | Writting output files
