2023-09-13 at 16:51:51 | INFO | Creating the Mismatch Database
2023-09-13 at 16:51:51 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/dc/99f2ea8e5b815988972f3fbc55b28c/royal-farm-virus--64288/work/mismatch.db
2023-09-13 at 16:51:51 | INFO | Read in MSA: 64288_final	seqs:5	cols:10858
2023-09-13 at 16:51:54 | INFO | 64288_final: digested to 1018 FKmers and 1200 RKmers
2023-09-13 at 16:51:57 | INFO | 64288_final: Generated 17028 possible amplicons
2023-09-13 at 16:51:57 | INFO | Added first amplicon for 64288_final: 0	1026	1
2023-09-13 at 16:51:57 | INFO | Added overlapping amplicon for 64288_final: 824	1847	2
2023-09-13 at 16:51:57 | INFO | Added overlapping amplicon for 64288_final: 1514	2519	1
2023-09-13 at 16:51:57 | INFO | Added overlapping amplicon for 64288_final: 2176	3201	2
2023-09-13 at 16:51:57 | INFO | Added overlapping amplicon for 64288_final: 2866	3890	1
2023-09-13 at 16:51:57 | INFO | Added overlapping amplicon for 64288_final: 3723	4713	2
2023-09-13 at 16:51:57 | INFO | Added overlapping amplicon for 64288_final: 4511	5496	1
2023-09-13 at 16:51:57 | INFO | Added overlapping amplicon for 64288_final: 5311	6296	2
2023-09-13 at 16:51:57 | INFO | Added overlapping amplicon for 64288_final: 6141	7127	1
2023-09-13 at 16:51:57 | INFO | Added overlapping amplicon for 64288_final: 6896	7918	2
2023-09-13 at 16:51:57 | INFO | Added overlapping amplicon for 64288_final: 7351	8374	1
2023-09-13 at 16:51:57 | INFO | Added overlapping amplicon for 64288_final: 8118	9142	2
2023-09-13 at 16:51:57 | INFO | Added overlapping amplicon for 64288_final: 8991	10013	1
2023-09-13 at 16:51:57 | INFO | Added overlapping amplicon for 64288_final: 9831	10850	2
2023-09-13 at 16:51:57 | INFO | Writting output files
