2023-09-13 at 16:51:12 | INFO | Creating the Mismatch Database
2023-09-13 at 16:51:13 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/45/95c47ee3dc52a640b50ede1274fbd5/saboya-virus--64284/work/mismatch.db
2023-09-13 at 16:51:13 | INFO | Read in MSA: 64284_final	seqs:2	cols:10173
2023-09-13 at 16:51:15 | INFO | 64284_final: digested to 4628 FKmers and 4901 RKmers
2023-09-13 at 16:52:29 | INFO | 64284_final: Generated 413295 possible amplicons
2023-09-13 at 16:52:29 | INFO | Added first amplicon for 64284_final: 1	1001	1
2023-09-13 at 16:52:29 | INFO | Added overlapping amplicon for 64284_final: 830	1853	2
2023-09-13 at 16:52:29 | INFO | Added overlapping amplicon for 64284_final: 1701	2725	1
2023-09-13 at 16:52:29 | INFO | Added overlapping amplicon for 64284_final: 2455	3479	2
2023-09-13 at 16:52:29 | INFO | Added overlapping amplicon for 64284_final: 3242	4268	1
2023-09-13 at 16:52:29 | INFO | Added overlapping amplicon for 64284_final: 4095	5118	2
2023-09-13 at 16:52:29 | INFO | Added overlapping amplicon for 64284_final: 4920	5942	1
2023-09-13 at 16:52:29 | INFO | Added overlapping amplicon for 64284_final: 5791	6814	2
2023-09-13 at 16:52:29 | INFO | Added overlapping amplicon for 64284_final: 6654	7676	1
2023-09-13 at 16:52:30 | INFO | Added overlapping amplicon for 64284_final: 7524	8549	2
2023-09-13 at 16:52:30 | INFO | Added overlapping amplicon for 64284_final: 8332	9360	1
2023-09-13 at 16:52:30 | INFO | Added overlapping amplicon for 64284_final: 9150	10160	2
2023-09-13 at 16:52:30 | INFO | Writting output files
