2023-09-13 at 16:50:05 | INFO | Creating the Mismatch Database
2023-09-13 at 16:50:06 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/70/5bbb8554ea8f4a2fa37c8a4ff8ab4a/stratford-virus--44027/work/mismatch.db
2023-09-13 at 16:50:06 | INFO | Read in MSA: 44027_final	seqs:2	cols:10560
2023-09-13 at 16:50:07 | INFO | 44027_final: digested to 5212 FKmers and 5470 RKmers
2023-09-13 at 16:51:42 | INFO | 44027_final: Generated 485834 possible amplicons
2023-09-13 at 16:51:42 | INFO | Added first amplicon for 44027_final: 0	1025	1
2023-09-13 at 16:51:42 | INFO | Added overlapping amplicon for 44027_final: 864	1889	2
2023-09-13 at 16:51:42 | INFO | Added overlapping amplicon for 44027_final: 1727	2754	1
2023-09-13 at 16:51:42 | INFO | Added overlapping amplicon for 44027_final: 2604	3632	2
2023-09-13 at 16:51:42 | INFO | Added overlapping amplicon for 44027_final: 3472	4492	1
2023-09-13 at 16:51:42 | INFO | Added overlapping amplicon for 44027_final: 4351	5372	2
2023-09-13 at 16:51:43 | INFO | Added overlapping amplicon for 44027_final: 5220	6248	1
2023-09-13 at 16:51:43 | INFO | Added overlapping amplicon for 44027_final: 6091	7115	2
2023-09-13 at 16:51:43 | INFO | Added overlapping amplicon for 44027_final: 6969	7994	1
2023-09-13 at 16:51:43 | INFO | Added overlapping amplicon for 44027_final: 7819	8843	2
2023-09-13 at 16:51:43 | INFO | Added overlapping amplicon for 44027_final: 8696	9709	1
2023-09-13 at 16:51:43 | INFO | Added overlapping amplicon for 44027_final: 9512	10545	2
2023-09-13 at 16:51:43 | INFO | Writting output files
