2023-09-13 at 16:43:03 | INFO | Creating the Mismatch Database
2023-09-13 at 16:43:04 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/7e/552076fe2bb9b79716bdf6dd15f4c8/sudan-ebolavirus-nakisamata--1216927/work/mismatch.db
2023-09-13 at 16:43:04 | INFO | Read in MSA: 1216927_final	seqs:1	cols:18875
2023-09-13 at 16:43:10 | INFO | 1216927_final: digested to 10721 FKmers and 10732 RKmers
2023-09-13 at 16:46:29 | INFO | 1216927_final: Generated 1154781 possible amplicons
2023-09-13 at 16:46:29 | INFO | Added first amplicon for 1216927_final: 27	1051	1
2023-09-13 at 16:46:29 | INFO | Added overlapping amplicon for 1216927_final: 889	1911	2
2023-09-13 at 16:46:29 | INFO | Added overlapping amplicon for 1216927_final: 1750	2783	1
2023-09-13 at 16:46:29 | INFO | Added overlapping amplicon for 1216927_final: 2624	3652	2
2023-09-13 at 16:46:29 | INFO | Added overlapping amplicon for 1216927_final: 3488	4516	1
2023-09-13 at 16:46:29 | INFO | Added overlapping amplicon for 1216927_final: 4336	5357	2
2023-09-13 at 16:46:30 | INFO | Added overlapping amplicon for 1216927_final: 5168	6193	1
2023-09-13 at 16:46:30 | INFO | Added overlapping amplicon for 1216927_final: 6022	7044	2
2023-09-13 at 16:46:30 | INFO | Added overlapping amplicon for 1216927_final: 6898	7931	1
2023-09-13 at 16:46:30 | INFO | Added overlapping amplicon for 1216927_final: 7766	8796	2
2023-09-13 at 16:46:30 | INFO | Added overlapping amplicon for 1216927_final: 8623	9648	1
2023-09-13 at 16:46:30 | INFO | Added overlapping amplicon for 1216927_final: 9440	10456	2
2023-09-13 at 16:46:30 | INFO | Added overlapping amplicon for 1216927_final: 10264	11286	1
2023-09-13 at 16:46:30 | INFO | Added overlapping amplicon for 1216927_final: 11108	12135	2
2023-09-13 at 16:46:31 | INFO | Added overlapping amplicon for 1216927_final: 11976	13000	1
2023-09-13 at 16:46:31 | INFO | Added overlapping amplicon for 1216927_final: 12832	13854	2
2023-09-13 at 16:46:31 | INFO | Added overlapping amplicon for 1216927_final: 13695	14727	1
2023-09-13 at 16:46:31 | INFO | Added overlapping amplicon for 1216927_final: 14563	15591	2
2023-09-13 at 16:46:31 | INFO | Added overlapping amplicon for 1216927_final: 15413	16431	1
2023-09-13 at 16:46:31 | INFO | Added overlapping amplicon for 1216927_final: 16263	17291	2
2023-09-13 at 16:46:31 | INFO | Added overlapping amplicon for 1216927_final: 17121	18150	1
2023-09-13 at 16:46:31 | INFO | Added overlapping amplicon for 1216927_final: 17828	18836	2
2023-09-13 at 16:46:32 | INFO | Writting output files
