2023-09-13 at 16:51:35 | INFO | Creating the Mismatch Database
2023-09-13 at 16:51:36 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/0f/1808013c6a3f1ad2cb29a9f1167f85/tai-forest-ebolavirus--186541/work/mismatch.db
2023-09-13 at 16:51:36 | INFO | Read in MSA: 186541_final	seqs:4	cols:18935
2023-09-13 at 16:51:42 | INFO | 186541_final: digested to 10474 FKmers and 10631 RKmers
2023-09-13 at 16:53:54 | INFO | 186541_final: Generated 1125476 possible amplicons
2023-09-13 at 16:53:54 | INFO | Added first amplicon for 186541_final: 26	1035	1
2023-09-13 at 16:53:54 | INFO | Added overlapping amplicon for 186541_final: 879	1899	2
2023-09-13 at 16:53:54 | INFO | Added overlapping amplicon for 186541_final: 1750	2771	1
2023-09-13 at 16:53:54 | INFO | Added overlapping amplicon for 186541_final: 2602	3623	2
2023-09-13 at 16:53:54 | INFO | Added overlapping amplicon for 186541_final: 3472	4494	1
2023-09-13 at 16:53:54 | INFO | Added overlapping amplicon for 186541_final: 4338	5366	2
2023-09-13 at 16:53:54 | INFO | Added overlapping amplicon for 186541_final: 5210	6236	1
2023-09-13 at 16:53:54 | INFO | Added overlapping amplicon for 186541_final: 6067	7091	2
2023-09-13 at 16:53:54 | INFO | Added overlapping amplicon for 186541_final: 6942	7961	1
2023-09-13 at 16:53:54 | INFO | Added overlapping amplicon for 186541_final: 7815	8837	2
2023-09-13 at 16:53:54 | INFO | Added overlapping amplicon for 186541_final: 8685	9717	1
2023-09-13 at 16:53:54 | INFO | Added overlapping amplicon for 186541_final: 9560	10588	2
2023-09-13 at 16:53:54 | INFO | Added overlapping amplicon for 186541_final: 10437	11449	1
2023-09-13 at 16:53:55 | INFO | Added overlapping amplicon for 186541_final: 11284	12316	2
2023-09-13 at 16:53:55 | INFO | Added overlapping amplicon for 186541_final: 12132	13131	1
2023-09-13 at 16:53:55 | INFO | Added overlapping amplicon for 186541_final: 12945	13974	2
2023-09-13 at 16:53:55 | INFO | Added overlapping amplicon for 186541_final: 13819	14847	1
2023-09-13 at 16:53:55 | INFO | Added overlapping amplicon for 186541_final: 14690	15722	2
2023-09-13 at 16:53:55 | INFO | Added overlapping amplicon for 186541_final: 15558	16586	1
2023-09-13 at 16:53:55 | INFO | Added overlapping amplicon for 186541_final: 16413	17441	2
2023-09-13 at 16:53:55 | INFO | Added overlapping amplicon for 186541_final: 17262	18290	1
2023-09-13 at 16:53:55 | INFO | Added overlapping amplicon for 186541_final: 17875	18908	2
2023-09-13 at 16:53:55 | INFO | Writting output files
