2023-09-13 at 16:50:02 | INFO | Creating the Mismatch Database
2023-09-13 at 16:50:03 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/96/2b1986e22236d161c04eb7bc0d1d08/tamana-bat-virus--161675/work/mismatch.db
2023-09-13 at 16:50:03 | INFO | Read in MSA: 161675_final	seqs:3	cols:10658
2023-09-13 at 16:50:06 | INFO | 161675_final: digested to 6223 FKmers and 6424 RKmers
2023-09-13 at 16:52:07 | INFO | 161675_final: Generated 714116 possible amplicons
2023-09-13 at 16:52:07 | INFO | Added first amplicon for 161675_final: 0	1029	1
2023-09-13 at 16:52:07 | INFO | Added overlapping amplicon for 161675_final: 866	1893	2
2023-09-13 at 16:52:08 | INFO | Added overlapping amplicon for 161675_final: 1730	2760	1
2023-09-13 at 16:52:08 | INFO | Added overlapping amplicon for 161675_final: 2580	3611	2
2023-09-13 at 16:52:08 | INFO | Added overlapping amplicon for 161675_final: 3436	4447	1
2023-09-13 at 16:52:08 | INFO | Added overlapping amplicon for 161675_final: 4281	5300	2
2023-09-13 at 16:52:08 | INFO | Added overlapping amplicon for 161675_final: 5146	6168	1
2023-09-13 at 16:52:08 | INFO | Added overlapping amplicon for 161675_final: 6019	7048	2
2023-09-13 at 16:52:08 | INFO | Added overlapping amplicon for 161675_final: 6888	7920	1
2023-09-13 at 16:52:09 | INFO | Added overlapping amplicon for 161675_final: 7742	8768	2
2023-09-13 at 16:52:09 | INFO | Added overlapping amplicon for 161675_final: 8618	9641	1
2023-09-13 at 16:52:09 | INFO | Added overlapping amplicon for 161675_final: 9492	10521	2
2023-09-13 at 16:52:09 | INFO | Added overlapping amplicon for 161675_final: 9644	10649	1
2023-09-13 at 16:52:09 | INFO | Writting output files
