2023-09-13 at 16:52:23 | INFO | Creating the Mismatch Database
2023-09-13 at 16:52:44 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/22/5fb28fc7c43c98e48e42963eaa0890/tick-borne-encephalitis-virus--11084/work/mismatch.db
2023-09-13 at 16:52:44 | INFO | Read in MSA: 11084_final	seqs:130	cols:12401
2023-09-13 at 16:53:42 | INFO | 11084_final: digested to 112 FKmers and 127 RKmers
2023-09-13 at 16:53:43 | INFO | 11084_final: Generated 134 possible amplicons
2023-09-13 at 16:53:43 | INFO | Added first amplicon for 11084_final: 645	1543	1
2023-09-13 at 16:53:43 | INFO | Added overlapping amplicon for 11084_final: 1115	2104	2
2023-09-13 at 16:53:43 | INFO | Added walking amplicon for 11084_final: 2063	3026	1
2023-09-13 at 16:53:43 | INFO | Added walking amplicon for 11084_final: 4893	5805	1
2023-09-13 at 16:53:44 | INFO | Added walking amplicon for 11084_final: 8814	9781	2
2023-09-13 at 16:53:47 | INFO | Writting output files
