2023-09-13 at 16:50:48 | INFO | Creating the Mismatch Database
2023-09-13 at 16:50:48 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/d6/bb206d02094f6921ffc4210c7227d4/tyuleniy-virus--40004/work/mismatch.db
2023-09-13 at 16:50:48 | INFO | Read in MSA: 40004_final	seqs:2	cols:10673
2023-09-13 at 16:50:50 | INFO | 40004_final: digested to 2972 FKmers and 3346 RKmers
2023-09-13 at 16:51:21 | INFO | 40004_final: Generated 159019 possible amplicons
2023-09-13 at 16:51:21 | INFO | Added first amplicon for 40004_final: 9	1032	1
2023-09-13 at 16:51:21 | INFO | Added overlapping amplicon for 40004_final: 859	1883	2
2023-09-13 at 16:51:21 | INFO | Added overlapping amplicon for 40004_final: 1693	2716	1
2023-09-13 at 16:51:21 | INFO | Added overlapping amplicon for 40004_final: 2567	3590	2
2023-09-13 at 16:51:21 | INFO | Added overlapping amplicon for 40004_final: 3436	4461	1
2023-09-13 at 16:51:21 | INFO | Added overlapping amplicon for 40004_final: 4309	5323	2
2023-09-13 at 16:51:21 | INFO | Added overlapping amplicon for 40004_final: 5152	6103	1
2023-09-13 at 16:51:21 | INFO | Added overlapping amplicon for 40004_final: 5892	6908	2
2023-09-13 at 16:51:21 | INFO | Added overlapping amplicon for 40004_final: 6744	7771	1
2023-09-13 at 16:51:21 | INFO | Added overlapping amplicon for 40004_final: 7599	8619	2
2023-09-13 at 16:51:22 | INFO | Added overlapping amplicon for 40004_final: 8473	9485	1
2023-09-13 at 16:51:22 | INFO | Added overlapping amplicon for 40004_final: 9314	10341	2
2023-09-13 at 16:51:22 | INFO | Added overlapping amplicon for 40004_final: 9645	10672	1
2023-09-13 at 16:51:22 | INFO | Writting output files
