2023-09-13 at 16:43:05 | INFO | Creating the Mismatch Database
2023-09-13 at 16:43:05 | INFO | Created: /home/ubuntu/mnt/chris/primal-nf/work/d6/34c188d11d245f706319f9ebd8a3df/uganda-s-virus--64297/work/mismatch.db
2023-09-13 at 16:43:06 | INFO | Read in MSA: 64297_final	seqs:1	cols:10182
2023-09-13 at 16:43:08 | INFO | 64297_final: digested to 5494 FKmers and 5945 RKmers
2023-09-13 at 16:44:53 | INFO | 64297_final: Generated 591532 possible amplicons
2023-09-13 at 16:44:53 | INFO | Added first amplicon for 64297_final: 1	1015	1
2023-09-13 at 16:44:53 | INFO | Added overlapping amplicon for 64297_final: 865	1892	2
2023-09-13 at 16:44:54 | INFO | Added overlapping amplicon for 64297_final: 1740	2770	1
2023-09-13 at 16:44:54 | INFO | Added overlapping amplicon for 64297_final: 2613	3641	2
2023-09-13 at 16:44:54 | INFO | Added overlapping amplicon for 64297_final: 3482	4507	1
2023-09-13 at 16:44:54 | INFO | Added overlapping amplicon for 64297_final: 4354	5374	2
2023-09-13 at 16:44:54 | INFO | Added overlapping amplicon for 64297_final: 5229	6254	1
2023-09-13 at 16:44:54 | INFO | Added overlapping amplicon for 64297_final: 6101	7122	2
2023-09-13 at 16:44:55 | INFO | Added overlapping amplicon for 64297_final: 6937	7971	1
2023-09-13 at 16:44:55 | INFO | Added overlapping amplicon for 64297_final: 7804	8830	2
2023-09-13 at 16:44:55 | INFO | Added overlapping amplicon for 64297_final: 8683	9702	1
2023-09-13 at 16:44:55 | INFO | Added overlapping amplicon for 64297_final: 9154	10177	2
2023-09-13 at 16:44:55 | INFO | Writting output files
